업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
통나무식당,"서울특별시 도봉구 노해로60길 99, (쌍문동)",한식,양념갈비,111.18,쌍문제3동,02 9006644
망향비빔국수,"서울특별시 도봉구 도봉로 534, 1층 (창동)",한식,비빔국수,197.4,창제1동,
갈비세상 숯불갈비,"서울특별시 도봉구 도봉로181길 29, 1층 (도봉동)",식육(숯불구이),돼지고기,177.48,도봉제1동,02  955 0366
신의주찹쌀순대도봉구청점,"서울특별시 도봉구 마들로 664-5, 104,105호 (도봉동)",한식,,91.63,도봉제2동,234928887
반값소,"서울특별시 도봉구 마들로 664-5, 101,102호 (도봉동)",식육(숯불구이),식육구이,114.24,도봉제2동,02  34931297
신의주 찹쌀순대 쌍문점,"서울특별시 도봉구 해등로 157, (쌍문동,(1층))",한식,만두전골,95.2,쌍문제2동,02 9078885
반값소 푸드컴퍼니,"서울특별시 도봉구 방학로 173, 2층 201호 (방학동)",식육(숯불구이),소고기,181.8,방학제3동,02  955 1297
오섭생연구소,"서울특별시 도봉구 노해로 341, 신원리베르텔 1층 101호 (창동)",한식,해물뚝배기,143.82,창제5동,
보승회관,"서울특별시 도봉구 도봉로 696, 예민빌딩 가동 1층 (방학동)",한식,순대국밥,152.58,방학제1동,
파삼솥뚜껑삼겹살,"서울특별시 도봉구 우이천로20길 7, (창동,건영아파트 상가 115호)",식육(숯불구이),삼겹살,99,창제2동,02  993 3377
해주반,"서울특별시 도봉구 마들로 663, (방학동)",한식,감자탕,92.63,방학제1동,02 9543122
밀방아바지락칼국수,"서울특별시 도봉구 시루봉로 135, 1층 (방학동)",한식,칼국수,175.5,방학제3동,02  34926677
완니,"서울특별시 도봉구 도봉로110바길 18, 1층 (창동)","외국음식전문점(인도,태국등)",푸팟퐁커리,43,창제1동,7088031100
설담재 설렁탕,"서울특별시 도봉구 도봉로 562, 지상1층 (창동)",한식,설렁탕,320.67,창제5동,02998 0202
더맛있는족발보쌈(방학점),"서울특별시 도봉구 도당로 120, 1층 (방학동)",한식,돼지족발,72.6,방학제1동,02  955 5604
태림산채정식,"서울특별시 도봉구 노해로60길 32, (쌍문동)",한식,산채정식,125.67,쌍문제3동,02  998 5468
도봉산 갈비,"서울특별시 도봉구 도봉로 919, (도봉동, 지상1층일부, 2층, 3층전체)",식육(숯불구이),돼지갈비,491.71,도봉제1동,02 9558668
원조의정부부대찌게,"서울특별시 도봉구 해등로 156, (쌍문동)",한식,부대찌게,77.68,쌍문제2동,02 9994466
탐나종합어시장 방학역점,"서울특별시 도봉구 도봉로 704, 1층 (방학동)",횟집,,128.7,방학제1동,02 9568289
경복궁창동점(주)엔타스,"서울특별시 도봉구 도봉로 610, (창동)",한식,점심한상,853.4,창제5동,02 9926777
주식회사 삼성숯불갈비,"서울특별시 도봉구 도당로 36, 1층 106,107호 (방학동)",식육(숯불구이),돼지갈비,53.13,방학제1동,234912685
와우낙지,"서울특별시 도봉구 도봉산4길 7, 1층 (도봉동)",한식,낙지덮밥,66.03,도봉제1동,
장어가,"서울특별시 도봉구 도봉로 911, (도봉동)",한식,,207.8,도봉제1동,02 9561171
한스친친,"서울특별시 도봉구 노해로 341, 신원리베르텔 2층 202,203,204호 (창동)",중국식,,236,창제5동,02  990 4143
황금정원,"서울특별시 도봉구 방학로 312, (방학동)",한식,,194.2,방학제3동,02 9548881
한가향,"서울특별시 도봉구 도봉로169길 202, 1층 (도봉동)",한식,궁중한정식,283.7,도봉제1동,02 9557722
Tokyo(도쿄)감자탕,"서울특별시 도봉구 마들로 650, (방학동,도봉월드 210호)",한식,감자탕,132.6,방학제1동,262299797
대문한정식,"서울특별시 도봉구 시루봉로 139-6, 지상1층 (방학동)",한식,송어회,300.48,방학제3동,02 9560843
양주큰집전통순대국,"서울특별시 도봉구 방학로6길 32, (방학동)",한식,순대국,55.08,방학제1동,234931110
송림각,"서울특별시 도봉구 방학로 223, (방학동,신동아상가)",중국식,탕수육,107.37,방학제3동,234913334
하루방 유황오리,"서울특별시 도봉구 노해로63나길 8, (창동)",한식,오리,87.32,창제5동,02 9915292
남원추어탕,"서울특별시 도봉구 노해로67길 10, 1층 103호 (창동, 하나B/D)",한식,추어탕,73.87,창제4동,02 9082274
뚱보냉면,"서울특별시 도봉구 도봉로110길 51, 지상2,3층 (창동)",한식,냉면,316.8,창제1동,02 9908063
양촌리,"서울특별시 도봉구 방학로 102, (방학동)",식육(숯불구이),소갈비,377.86,방학제1동,02 9547852
황해도찹쌀순대,"서울특별시 도봉구 마들로 659, (방학동,(지상1층))",한식,곰탕,66,방학제1동,02  9548081
그 고기집,"서울특별시 도봉구 삼양로146길 6, 1층 (쌍문동)",식육(숯불구이),생고기,66,쌍문제1동,02 9928479
삿뽀로 창동점 (주)엔타스,"서울특별시 도봉구 도봉로 610, 2층 (창동)",일식,우동정식,530.1,창제5동,02 9916777
힘찬장어,"서울특별시 도봉구 노해로69길 15-9, (창동,(지상1층))",한식,민물장어,102,창제4동,02  999 9975
도봉산 면옥,"서울특별시 도봉구 도봉산3길 31, 1층 (도봉동)",한식,순대국,144.78,도봉제1동,
갑식이네착한낙지,"서울특별시 도봉구 도봉로150길 43, (방학동, ESA단지 상가 136.137.138호)",한식,,173.92,방학제1동,02  33925572
문성해물짬뽕,"서울특별시 도봉구 우이천로 294, A동 (쌍문동)",중국식,,92.4,쌍문제3동,02905 8999
봉평메밀막국수,"서울특별시 도봉구 도봉산4길 15, 1층 (도봉동)",한식,막국수,90.55,도봉제1동,02 9562080
은행골,"서울특별시 도봉구 마들로 684, (도봉동, 안세빌딩 101,102호(지상1층))",한식,모듬초밥,63.36,도봉제2동,02 9554988
쌈촌창동역점,"서울특별시 도봉구 노해로65길 11, 2층 2,3,4호 (창동, 한성빌딩)",한식,샤브샤브,295.2,창제5동,02 9004929
장위동유성집,"서울특별시 도봉구 도봉로180나길 56, (도봉동)",한식,한우등심,112,도봉제2동,02 9550550
파삼 솥뚜껑 삼겹살 쌍문점,"서울특별시 도봉구 도당로2길 13, 쌍문동근린생활시설 1층 (쌍문동)",식육(숯불구이),삼겹살,95.24,쌍문제2동,
창원,"서울특별시 도봉구 도봉로180길 6, 지상1층 (도봉동, 태봉운동시설2동)",한식,식육취급(소고기),234,도봉제2동,02  34927892
