업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
안흥갈비 본점,"서울특별시 동대문구 장한로 153, 1층 (장안동)",한식,돼지갈비,95.6,장안제1동,222467896
이수사횟집,"서울특별시 동대문구 천호대로85길 10, (장안동,1층)",일식,생선회,148,장안제1동,222124789
면천추어탕,"서울특별시 동대문구 천호대로83길 19, 1층 (장안동)",한식,추어탕,66,장안제1동,
그집,"서울특별시 동대문구 천장산로7길 56, (이문동)",한식,설렁탕,95,이문제1동,29673110
샛집남원추어탕,"서울특별시 동대문구 답십리로 310, 1층 (장안동)",한식,추어탕,141.9,장안제1동,222430042
홍어집,"서울특별시 동대문구 청계천로5길 9, (신설동)",한식,홍어찜,50.49,용신동,222341644
대흥설농탕,"서울특별시 동대문구 한천로 60, (장안동)",한식,설렁탕,122.31,장안제1동,222493939
홍능갈비본점,"서울특별시 동대문구 제기로 85, 1,2/1,2,3층 (청량리동)",한식,갈비,842.88,청량리동,209660420
청마루 한우,"서울특별시 동대문구 왕산로28길 17, (용두동)",한식,생갈비,107.48,용신동,02 9661750
동의보쌈칼국수냉면,"서울특별시 동대문구 장한로 157, (장안동)",냉면집,보쌈,68,장안제1동,02  22426363
비나레스토랑,"서울특별시 동대문구 안암로24길 4, 1층 (제기동)",경양식,램(양고기),140.55,제기동,02 9265860
굴마을,"서울특별시 동대문구 장한로2길 52, (장안동)",한식,굴국밥,96.56,장안제1동,222483144
한우리,"서울특별시 동대문구 천호대로 74, (용두동,(하정로 76))",한식,등심,120.5,용신동,02 9296231
가정집삼계탕,"서울특별시 동대문구 난계로30길 48-4, 1층 (신설동)",한식,삼계탕,105.6,용신동,02922 7676
더진국수육국밥(경희대점),"서울특별시 동대문구 경희대로3길 14, (회기동)",한식,설렁탕,71.76,회기동,02 9592999
고창풍천장어,"서울특별시 동대문구 홍릉로 47, 1,2층 (청량리동)",한식,"설렁탕, 갈비탕",400.4,청량리동,02 9678111
선진국낙지마당,"서울특별시 동대문구 장한로 149-1, (장안동)",한식,,106.24,장안제1동,222150564
흥부골숯불갈비,"서울특별시 동대문구 장한로 149, (장안동)",한식,돼지갈비,138.21,장안제2동,02  22485694
장안삼계탕,"서울특별시 동대문구 전농로 50, 1층 (답십리동)",한식,삼계탕,75,답십리제1동,222497297
행운돈까스 지기,"서울특별시 동대문구 장한로 173, (장안동)",경양식,돈까스,146.34,장안제2동,
미스사이공장안점,"서울특별시 동대문구 천호대로85길 26-4, 101호 (장안동, 장안동 우성4차 아파트)","외국음식전문점(인도,태국등)",쌀국수,120.96,장안제1동,
장수식당,"서울특별시 동대문구 망우로20길 16, 1층 (휘경동)",분식,보리밥정식,59.4,휘경제1동,222487251
박가뼈다귀 안암점,"서울특별시 동대문구 무학로 200, 재경포항학사 1층 101,102호 (제기동)",한식,감자탕,156,제기동,
성공시대팔팔추어탕,"서울특별시 동대문구 왕산로 248, 1층 (전농동)",한식,추어탕,109.29,전농제1동,
쌈마루,"서울특별시 동대문구 서울시립대로 45, 1층 (전농동)",한식,쌈밥,63,전농제1동,
장안정,"서울특별시 동대문구 답십리로 291-3, 1층 (장안동)",한식,돈까스,165.6,장안제1동,
장원닭한마리,"서울특별시 동대문구 전농로 36, 답십리포레스트스퀘어 1층 107호 (답십리동)",한식,닭한마리,118.85,답십리제1동,
원골전통순대국전문,"서울특별시 동대문구 사가정로 232, 1층 (장안동)",한식,순대국,112.17,장안제1동,222451607
돈풍숯불갈비,"서울특별시 동대문구 답십리로 61, 1층 (전농동)",한식,갈비,150.41,전농제1동,
김여사짜장앤짬뽕,"서울특별시 동대문구 무학로 102, 1층 (용두동)",중국식,"짜장면, 짬뽕",99,용신동,
아씨네 화덕족발 장안점,"서울특별시 동대문구 한천로46길 42, 장안동 마루하우스 108호 (장안동)",한식,족발,88.88,장안제1동,
코테사키,"서울특별시 동대문구 홍릉로5길 7, 1층 (청량리동)",일식,"초밥, 사시미",30,청량리동,
완도회집,"서울특별시 동대문구 고산자로 503-2, (제기동)",일식,광어회,44.2,제기동,02 9676880
최원석의돼지한판&서해쭈꾸미시립대점,"서울특별시 동대문구 전농로 222, (전농동,(전농로 222))",한식,쭈꾸미,83.61,전농제1동,222135592
옛날할머니보쌈,"서울특별시 동대문구 이문로 100, 2층 (이문동)",한식,오리구이,195,이문제1동,02   9675292
이천농장정육식당,"서울특별시 동대문구 장한로 151, 지상1층 (장안동)",한식,김치찌개,159.28,장안제1동,222123010
육전식당,"서울특별시 동대문구 천호대로 33, 2층 (신설동)",한식,"삼겹살, 목살",77.32,신설동,222346373
최강낙지,"서울특별시 동대문구 고산자로28길 21, (용두동,지하1층)",한식,낙지비빔밥,132.9,용두동,260806255
나주막회,"서울특별시 동대문구 서울시립대로 62-1, (전농동,지상1층~지하1층)",횟집,광어매운탕,141.19,전농제1동,222421310
무교동미성낙지장안본점,"서울특별시 동대문구 장한로12길 7, 지상1층 (장안동)",한식,낙지볶음,130.52,장안제1동,222466061
다복,"서울특별시 동대문구 망우로 117, 101호 (휘경동)",한식,돼지갈비,95,휘경제1동,02 9651332
안흥갈비답십리점,"서울특별시 동대문구 전농로 75, 2층 (답십리동)",식육(숯불구이),갈비,168.7,답십리제1동,222179303
벗이있는집,"서울특별시 동대문구 회기로25길 109, 1층 (이문동)",한식,김치찌개,53.71,이문제1동,
육전식당,"서울특별시 동대문구 난계로30길 16, 1층 (신설동)",한식,"삼겹살, 목살",96.42,용신동,222326373
신설보쌈앤칼국수,"서울특별시 동대문구 하정로3길 10, 1층 (신설동)",한식,"보쌈, 칼국수",101.9,용신동,02 9253030
고래돈가스,"서울특별시 동대문구 안암로 154, 지상1층 (제기동)",한식,돈가스,59.4,제기동,02  953 6592
