업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
김종구참치박사,"서울특별시 동작구 동작대로 25-1, (사당동, 1층)",일식,회,160.8,사당제1동,02  523 9261
구름산추어탕,"서울특별시 동작구 성대로1길 22, 지상1층 (상도동)",한식,추어탕,136.71,상도제4동,02  822 2719
어촌,"서울특별시 동작구 상도로 122, (상도동, 1층)",한식,생선구이,168.7,상도제4동,02  822 3619
대방회집,"서울특별시 동작구 여의대방로 134-1, (대방동)",일식,회,80.78,대방동,02 8231949
다독이네 숯불구이,"서울특별시 동작구 노량진로 106-5, (노량진동,(1층))",한식,돼지갈비,65,노량진제2동,02 8177789
청와옥 사당직영점,"서울특별시 동작구 동작대로 71, (사당동, 1층)",한식,돼지갈비,223.7,사당제1동,02 5868592
내고향나주곰탕,"서울특별시 동작구 사당로 183, (사당동)",한식,곰탕,107.1,사당제3동,02  34762999
원할머니보쌈족발 이수역점,"서울특별시 동작구 동작대로27나길 22, (사당동)",한식,보쌈,121.09,사당제2동,234765252
옛날그집,"서울특별시 동작구 장승배기로 121-2, 1층 (노량진동)",기타,삼겹살,52.23,노량진제2동,02  827 0678
청기와 매운탕,"서울특별시 동작구 여의대방로24라길 35, 1층 (대방동)",한식,매운탕,58.96,대방동,02 8147088
청담김밥,"서울특별시 동작구 사당로16길 28, (사당동)",한식,김밥,62.72,사당제4동,
친구네정육식당,"서울특별시 동작구 여의대방로26길 22, 1층 (대방동)",식육(숯불구이),생삼겹살,162.97,대방동,
하얼빈양꼬치,"서울특별시 동작구 노량진로8길 53, 1층 (노량진동)",중국식,양꼬치,35.35,노량진제2동,
광어삼촌,"서울특별시 동작구 상도로37길 62, 1층 (상도동)",횟집,회,90,상도제1동,
참치마니아,"서울특별시 동작구 동작대로7길 12, 2층 (사당동)",횟집,참치,92.4,사당제1동,02582 3737
세종대왕숯불갈비,"서울특별시 동작구 등용로 2, (상도동)",한식,갈비탕,201.54,상도제2동,02 8123260
시래불고기 화풍정,"서울특별시 동작구 상도로 102, (상도동)",한식,한식(돼지갈비),138.6,상도제3동,02 8143392
제일 어버이 순대,"서울특별시 동작구 상도로 177, 1층 (상도동)",한식,순대,59.4,상도제2동,
차이30(CHAI30),"서울특별시 동작구 보라매로5길 15, 지상30층 (신대방동)",중국식,짜장면,1049.34,신대방제2동,269540099
노들가,"서울특별시 동작구 만양로18길 23, 1층 (노량진동)",한식,삼겹살,96,노량진제1동,02 8238489
유정우함흥냉면,"서울특별시 동작구 동작대로29다길 7-1, (사당동, 1층)",한식,냉면,65.19,사당제2동,234780105
부라문,"서울특별시 동작구 상도로60길 2, 금오빌딩 1층 (상도동)",중국식,짜장면,164.6,상도제1동,269511145
강진수산,"서울특별시 동작구 상도로 63, 진성마블로스 1층 101호 (대방동)",횟집,부대찌개,52.06,대방동,
한울갈비,"서울특별시 동작구 동작대로1길 9, (사당동)",한식,돼지갈비,165.3,사당제1동,02 5834118
그릴진,"서울특별시 동작구 동작대로27다길 31, 1층 101호 (사당동)",한식,돼지갈비,201.87,사당제2동,02  532 4135
마라농장,"서울특별시 동작구 장승배기로 138, 1층 (노량진동)",중국식,마라탕,66,노량진제1동,
사리원유승배만두,"서울특별시 동작구 상도로50길 2-15, (상도1동)",한식,만두국,164.02,상도제1동,02 8146022
토방마루,"서울특별시 동작구 상도로 168, (상도동)",기타,쌀국수,34.8,상도제2동,
정동진,"서울특별시 동작구 만양로 85, (노량진동)",한식,영양삼계탕,72.9,노량진제1동,02 8152250
거구장,"서울특별시 동작구 흑석로 101-7, (흑석동)",한식,갈비탕,94.82,흑석동,02 8154725
가장맛있는족발(본사직영점),"서울특별시 동작구 상도로 4, (대방동)",한식,족발,82.65,대방동,02  823 3989
명갈비,"서울특별시 동작구 상도로31길 83, (상도동)",식육(숯불구이),돼지갈비,178,상도제2동,02 8227656
라화방,"서울특별시 동작구 동작대로27길 22, (사당동)",중국식,마라탕,140.5,사당제2동,02 5914655
대방싸리집,"서울특별시 동작구 여의대방로26길 24, 201,301호 (대방동)",한식,"복,삼계탕",556.44,대방동,02 8212951
고기스토리 중앙대점,"서울특별시 동작구 흑석로8길 4, (흑석동)",한식,삼겹살,88.8,흑석동,
쌈반,"서울특별시 동작구 사당로 215, (사당동, 서림빌딩2층 201호)",한식,쌈밥,129.65,사당제3동,234777225
서울식당,"서울특별시 동작구 사당로30길 154, (사당동)",한식,닭갈비,90.16,사당제1동,02 5229293
고추찜닭,"서울특별시 동작구 동작대로27가길 14, (사당동)",한식,찜닭,46.23,사당제2동,02 5921125
가마솥손두부,"서울특별시 동작구 남부순환로271길 20, (사당동)",한식,순두부,235.54,사당제1동,234722202
천외천,"서울특별시 동작구 만양로 19, (노량진동,신동아리버파크상가 217-220호)",중국식,짜장면,316,노량진제1동,267457000
순천집,"서울특별시 동작구 노량진로 80, 2층 (노량진동, 노량진큐브스테이트)",한식,샤브샤브,192.77,노량진제2동,02  817 3222
장수촌,"서울특별시 동작구 사당로17가길 16, 영아탕(여관) 1층 (사당동)",기타,장어구이,231.35,사당제3동,
구름산추어탕,"서울특별시 동작구 사당로30길 158-4, 지하1층 (사당동)",한식,추어탕,82.77,사당제1동,205211224
제주생고기,"서울특별시 동작구 노량진로6길 6-5, 1층 (노량진동)",한식,오겹살,111.87,노량진제2동,02 8261342
소담,"서울특별시 동작구 흑석로 102, (흑석동,중앙대학교병원 지하1층 B105호)",한식,갈비탕,167.32,흑석동,02 8221456
초와밥,"서울특별시 동작구 동작대로5길 8, (사당동)",일식,생선회,114.6,사당제1동,02  523 5937
와가마마,"서울특별시 동작구 만양로14길 12, (노량진동)",경양식,돈가스,197.04,노량진제1동,02 8232225
세종대왕숯불갈비,"서울특별시 동작구 여의대방로 136, (대방동)",한식,돼지갈비,755.32,대방동,02 8232517
은혜식당,"서울특별시 동작구 사당로9가길 55, (사당동,(B203호))",한식,김치찌개,35.52,사당제3동,02592 8007
씨제이푸드빌(주)빕스 대방점,"서울특별시 동작구 노량진로 2, (대방동)",뷔페식,스테이크,714.7,대방동,232801997
