업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
방추남원추어탕,"서울특별시 은평구 통일로80길 1-1, 제지층 B101호 (불광동, 베로니스)",한식,추어탕,217,불광제2동,02356 7679
김회장고깃집,"서울특별시 은평구 연서로28길 8, 1층 107,108,109호 (대조동, 유진 아이디움)",한식,"생갈비, 식육",122.78,대조동,02389 8892
양식당 브런치,"서울특별시 은평구 갈현로33길 24, 제상가동 제1층 4,5호 (갈현동, 갈현동현대아파트)",경양식,"파스타, 브런치",40.15,갈현제1동,070 75891771
통큰손 쭈꾸미마을 응암점,"서울특별시 은평구 응암로22길 20, 1층 (응암동)",한식,주꾸미철판,155,응암제1동,02 3049313
봉평산골메밀촌,"서울특별시 은평구 불광로 40-3, (불광동, 1층)",한식,명태조림,68.73,불광제1동,02 3855454
쭝마루,"서울특별시 은평구 연서로26길 8, 1층 (대조동)",중국식,"짜장면, 짬뽕, 탕수육",96.95,대조동,02 3579289
이조숯불갈비,"서울특별시 은평구 가좌로 232, 여의도순복음교회 1층 (응암동)",한식,돼지갈비,96,응암제1동,02 3032333
세븐가든,"서울특별시 은평구 북한산로 242, (진관동, 1,2층)",중국식,"짜장면, 짬뽕",207.76,진관동,02 3817811
한잔의 추억,"서울특별시 은평구 역말로 18, 1층 (역촌동)",한식,"돼지불백, 순두부찌개, 청국장찌개",106.62,역촌동,02355 1981
착한낙지,"서울특별시 은평구 연서로 322, 1,2층 (불광동)",한식,"낙지볶음, 연포탕",200.01,불광제2동,02 3538113
아스론가 연신내점(Ars Longa),"서울특별시 은평구 연서로29길 17-3, 1층 (갈현동)",경양식,"파스타, 피자",93.96,갈현제1동,7040156772
두루올,"서울특별시 은평구 은평로9길 13, 캐스텔가든 104호 (응암동)",한식,순대국,81.9,응암제1동,50714178257
보들이 족발,"서울특별시 은평구 연서로 230-10, (대조동)",한식,족발,119.46,대조동,02 3887610
명태어장쭈갑골 응암점,"서울특별시 은평구 진흥로 50-8, (응암동, 1층102호)",한식,"명태조림, 주꾸미, 갑오징어",149.16,응암제1동,02352 7000
냉삼슈퍼,"서울특별시 은평구 갈현로 156, 1층 (구산동)",한식,삼겹살,25,구산동,50714062347
역말 장어,"서울특별시 은평구 역말로 83-5, 2층 (역촌동)",한식,장어구이,147.63,역촌동,02 3829518
인생돈카츠,"서울특별시 은평구 통일로65길 12-10, 1층 (대조동)",일식,수제 돈가스,46.29,대조동,02 352 3920
시메사바 순,"서울특별시 은평구 진흥로 180-1, 1층 (녹번동)",일식,어류,18.2,녹번동,50713438095
봉평옹심이 메밀칼국수 불광점,"서울특별시 은평구 진흥로15길 28-1, 1층 (불광동)",한식,옹심이메밀칼국수,31.03,불광제1동,02 3860008
등촌샤브칼국수 불광점,"서울특별시 은평구 통일로66길 4-10, 1층 (불광동)",한식,"등촌샤브칼국수, 닭한마리",84.86,불광제1동,02357 3459
개성찹쌀순대해장국,"서울특별시 은평구 통일로66길 4-7, (불광동, 1,2층)",한식,순대국,89.57,불광제1동,02387 6080
봉평 옹심이 메밀칼국수,"서울특별시 은평구 연서로 247, (불광동, 1층)",한식,옹심이메밀칼국수,91,불광제2동,02354 5121
연신오리,"서울특별시 은평구 통일로 888, 1층 (불광동)",한식,오리,96.33,불광제1동,231575262
녹파랑,"서울특별시 은평구 녹번로 11, 제A동 제1층 (녹번동)",중국식,"자장면, 짬뽕",106.56,녹번동,02 3536688
한촌설렁탕 불광점,"서울특별시 은평구 진흥로15길 18, 1층 (불광동)",한식,"매콤명태조림, 시래기통갑오징어조림",198,불광제1동,02357 7204
도화원,"서울특별시 은평구 연서로 167, 수임빌딩 1층 (갈현동)",중국식,자장면,132,갈현제1동,02355 3976
삼오순대국,"서울특별시 은평구 불광로1길 2, (대조동)",한식,순대국,98.85,대조동,02 3872605
참숯 왕대박 갈비 전문점,"서울특별시 은평구 서오릉로8길 3-1, 1층 (대조동)",한식,돼지갈비,89.25,대조동,02 3889192
미스터초밥왕,"서울특별시 은평구 통일로71길 32-3, 서교빌 1층 (대조동)",일식,모듬초밥,40,대조동,02 3891949
오광참치,"서울특별시 은평구 갈현로36길 20, 2층 (갈현동)",일식,참치회,88.72,갈현제1동,02352 3502
지호한방삼계탕,"서울특별시 은평구 연서로 47, 1층 (역촌동)",한식,삼계탕,106.22,역촌동,02 3893343
"백년삼계탕,추어탕","서울특별시 은평구 응암로13길 2, 1층 (응암동)",한식,삼계탕,109.09,응암제1동,02 3733086
선조네 우렁쌈밥,"서울특별시 은평구 진관2로 12, 메이플카운티2차 제1층 제101호,102호 (진관동)",한식,우렁쌈밥,106.85,진관동,226476669
한우리,"서울특별시 은평구 불광로 40-7, (불광동, 1,2층)",한식,한우,103.9,불광제1동,02 3839292
설악추어탕한모둠순대국,"서울특별시 은평구 서오릉로2길 13, 1층 (녹번동)",한식,추어탕,94.09,녹번동,02385 0600
봉평옹심이메밀칼국수(역촌점),"서울특별시 은평구 은평로3길 9, 1층 (신사동)",한식,메밀칼국수,63.97,신사제1동,50713320039
고향옥 얼큰순대국,"서울특별시 은평구 진관2로 15-8, 웅신 미켈란의아침 상가106호,107호 (진관동)",한식,순대국,104,진관동,02 3563569
웃는돌 참치,"서울특별시 은평구 연서로29길 17-4, 1층 (갈현동)",일식,참치,88.94,갈현제1동,02 3543737
두메골쌈밥,"서울특별시 은평구 진흥로 162, 1층 (녹번동)",한식,쌈밥,157.9,녹번동,02 3821515
무안갯벌낙지,"서울특별시 은평구 진흥로 11, 1,2층 (역촌동)",한식,낙지전골,204.92,역촌동,02 3594017
합정오리농장,"서울특별시 은평구 증산로23길 27, 2층 (신사동)",한식,오리백숙,82.5,신사제1동,02 3035833
효면옥,"서울특별시 은평구 증산로 429, 2층 (신사동)",한식,냉면,203,신사제1동,02 3037300
장충당 역촌점,"서울특별시 은평구 진흥로 33, 지상1층 (역촌동)",한식,족발,71.31,역촌동,02 3897771
은평양촌리,"서울특별시 은평구 은평로 141, (응암동, 1층,2층,3층,4층)",한식,고기,1976.62,응암제1동,02  31578592
하동 우렁추어탕 역촌역점,"서울특별시 은평구 응암로 366, 101동 1층 S2,3,4호 (녹번동, 해주드림빌)",한식,추어탕,220,녹번동,02 3552666
멕시카나 역촌점,"서울특별시 은평구 연서로3길 44, (역촌동, 1층)",한식,닭갈비,45,역촌동,02 3833938
연신내 불낙쭈,"서울특별시 은평구 통일로 1030, 은평헤스티아 1층 105호 (진관동)",한식,"낙지, 쭈꾸미",63.86,진관동,02 3866005
병천순대국 왕족발,"서울특별시 은평구 연서로9길 28, (구산동, 1층)",한식,"병천순대국, 왕족발",98.4,구산동,02 3544920
우정갈비,"서울특별시 은평구 증산서길 79, 상가동 1층 101호 (증산동)",한식,돼지갈비,60.9,증산동,02  304 5526
소담촌 구산점,"서울특별시 은평구 서오릉로 145, (구산동, 외5필지 상원빌딩 3층 )",한식,월남쌈샤브,346.32,구산동,02 3568668
송추가마골,"서울특별시 은평구 북한산로 276, 2층 (진관동)",한식,"고기,냉면",151.42,진관동,02 3710021
보리네 생고깃간,"서울특별시 은평구 서오릉로 15, 지하1층 (녹번동)",한식,고기,494.96,녹번동,260136992
이가네설렁탕,"서울특별시 은평구 진흥로 130, (녹번동)",한식,설렁탕,93.33,녹번동,02 3872246
보들이쭈꾸미,"서울특별시 은평구 은평로 46, 1층 (신사동)",한식,쭈꾸미,137.84,신사제1동,02 3763588
한식뷔페 도투리,"서울특별시 은평구 증산로 303, (증산동, 태광아파트 105호)",한식,도토리묵,71.54,증산동,02374 3202
도원,"서울특별시 은평구 통일로 689, 1층 (녹번동)",중국식,중식코스,165,녹번동,02 3531577
정화생고기,"서울특별시 은평구 통일로83길 6-10, (갈현동,1,2층)",한식,"소고기,돼지고기",250.78,갈현제1동,02383 3993
연신내 회 수산,"서울특별시 은평구 통일로83길 6-5, 지상1층 (갈현동)",일식,활어회,241.7,갈현제1동,02  358 0088
통나무집,"서울특별시 은평구 진흥로19길 6, 1~3층 (불광동)",한식,오리고기,246.9,불광제1동,02 3565533
만석장,"서울특별시 은평구 대서문길 43-10, 1층 (진관동)",한식,두부,245,진관동,02 3712093
통나무집,"서울특별시 은평구 진흥로19길 8, 1,2,3층 (불광동)",한식,"오리,닭",252.92,불광제1동,02 3565533
응암특모듬회전문점,"서울특별시 은평구 은평로11길 12-10, (응암동)",한식,곤드레밥,124.21,응암제1동,
공화춘,"서울특별시 은평구 연서로 304, (불광동, 1,2층)",중국식,짬뽕,149.8,불광제1동,02 3527710
야래향,"서울특별시 은평구 통일로 1010, (진관동, B106,B107)",중국식,"자장면, 탕수육",250.8,진관동,02 7523201
평양초계탕 막국수,"서울특별시 은평구 대서문길 9, 1층 (진관동)",한식,초계탕,118,진관동,02  388 2977
원할머니 보쌈(녹번점),"서울특별시 은평구 은평로 170, (응암동, 상현빌딩 204호)",한식,보쌈,148,응암제1동,02  358 5355
족발마루,"서울특별시 은평구 응암로21가길 30, 1층 (응암동)",한식,돼지족발,60,응암제1동,02 3030021
안동유진찜닭,"서울특별시 은평구 연서로29길 7-23, (갈현동)",한식,찜닭,69.36,갈현제2동,02 3557200
효면옥,"서울특별시 은평구 증산로 429, 2층 (신사동)",한식,냉면,203,신사제1동,02 3037300
무안갯벌낙지,"서울특별시 은평구 진흥로 11, 1,2층 (역촌동)",한식,산낙지,204.92,역촌동,02 3594017
우주미,"서울특별시 은평구 은평로 185, 지하1층 (녹번동)",한식,곰국시,146.88,녹번동,02 3547788
숯돌삼겹,"서울특별시 은평구 통일로85길 6-5, (갈현동)",한식,삼겹살,92.5,갈현제1동,3539252
최부자,"서울특별시 은평구 은평로21길 57, 1층 (녹번동)",한식,순대,106.71,녹번동,02 7557776
