업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
어도참치,"서울특별시 강북구 도봉로 296, (번동,(도봉로 296))",일식,회,297,번제1동,02   9000037
우리가돼지갈비,"서울특별시 강북구 솔샘로 334-8, (미아동)",한식,돼지갈비,230.64,송천동,02  981 9800
풍년갈비,"서울특별시 강북구 솔샘로67길 132, (미아동)",한식,돼지갈비,118.9,송천동,02 9801631
시골쌈밥,"서울특별시 강북구 덕릉로19길 8, (수유동,(원앙길 4))",한식,쌈밥,101.79,인수동,02 9081264
갑식이네착한낙지,"서울특별시 강북구 한천로 1124, (수유동)",한식,낙지볶음,67.2,수유제2동,02 9977779
기품,"서울특별시 강북구 도봉로49길 7, (미아동,(밤꽃3길 5)(지상1층))",한식,장어구이,200.9,미아동,02  985 7744
부잣집설렁탕,"서울특별시 강북구 도봉로8길 9, (미아동,(하천길 5))",한식,설렁탕,89.6,송중동,02 9829944
서우샤브샤브,"서울특별시 강북구 도봉로 213, (미아동,(도봉로213)(지상2층))",한식,샤브샤브,288.66,미아동,02  983 9446
수유손칼국수,"서울특별시 강북구 도봉로101길 45, (수유동)",한식,칼국수,93.17,수유제3동,02905 9949
궁전회관,"서울특별시 강북구 한천로 1159, (수유동)",한식,한정식,89.49,수유제2동,02 9078178
굴마을,"서울특별시 강북구 오패산로77길 3, (번동,(지상1층))",한식,굴,65.86,번제1동,02 9952910
옥류헌릴렉스,"서울특별시 강북구 삼양로181길 142, (우이동)",한식,한정식,332.54,우이동,02993 1829
신의주 찹쌀순대 우이 솔밭공원점,"서울특별시 강북구 삼양로 573, (우이동,(우이동길 227))",한식,막국수,70,우이동,02993 2229
서울 명품 민물장어,"서울특별시 강북구 월계로 19, 1층 (미아동)",한식,장어구이,92.4,송중동,02  980 2225
락궁,"서울특별시 강북구 덕릉로42길 23, (번동,(지상1층))",중국식,짬뽕,69.9,번제2동,02 9866200
낙지마을,"서울특별시 강북구 삼양로29길 11, (미아동)",한식,,71.22,삼각산동,02 9828740
금돈돈 갈비,"서울특별시 강북구 덕릉로 108, 1층 (미아동)",한식,,117.16,미아동,02  64024966
참맛설렁탕,"서울특별시 강북구 노해로 122, 1층 (수유동)",한식,설렁탕,90,수유제3동,
산채가,"서울특별시 강북구 삼양로95길 3, (수유동,(우이동길 35)(지상1층,지하1층))",,쌈밥,0,인수동,02 9003254
전준수 명품청기와 감자탕,"서울특별시 강북구 한천로 1005, (번동,(지상1층))",한식,감자탕,73.26,번제1동,02 9035424
산해진미,"서울특별시 강북구 솔샘로68길 19, (미아동,(솔샘로68길19))",한식,해물탕,84.99,송천동,02  983 5217
최가네양평해장국,"서울특별시 강북구 덕릉로 162, (번동)",한식,해장국,0,번제2동,02  980 3344
신빛고을기사식당,"서울특별시 강북구 덕릉로28길 72, (미아동)",한식,삼겹살,109.66,삼양동,02  980 9435
신의주 부대찌개,"서울특별시 강북구 한천로131길 7, (번동,(경창서길 5))",한식,부대찌개,74.58,번제1동,02  992 1444
청화,"서울특별시 강북구 4.19로12길 75, (수유동)",한식,생등심,85.83,우이동,02  905 3555
능이마을,"서울특별시 강북구 솔샘로 330, (미아동,(솔샘길 7))",한식,오리구이,420.81,송천동,02  984 5300
유락손칼국수,"서울특별시 강북구 삼양로 461, (수유동)",한식,칼국수,50,인수동,02  997 9297
원할머니보쌈수유역점,"서울특별시 강북구 한천로 1054, (수유동,(4.19길 22))",한식,,66,수유제3동,02 9942340
수유섬진강민물장어 본점,"서울특별시 강북구 한천로 1151, (수유동,(4.19길 119))",한식,장어구이,188.04,수유제2동,02 9939545
문가네흑돈,"서울특별시 강북구 도봉로49길 12, 1층 (미아동)",한식,삼겹살,68.88,미아동,02   9660558
벼락(樂)화로구이,"서울특별시 강북구 도봉로8길 15, (미아동)",한식,갈비,90.1,송중동,02 9838914
