업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
길조,"서울특별시 강동구 천호대로 1173, (길동)",한식,"해물탕, 찜",160.18,길동,02 4769494
지호한방삼계탕,"서울특별시 강동구 올림픽로 813, (암사동)",한식,삼계탕,132,암사제2동,02 4413318
옛날불고기,"서울특별시 강동구 상암로12길 4, (천호동)",한식,불고기,247,천호제2동,02 4779236
더두툼생고기,"서울특별시 강동구 구천면로 666, (상일동,(1층))",한식,삼겹살,108.81,상일제1동,02  429 3774
탐나오리,"서울특별시 강동구 천중로 196, (길동)",한식,삼겹살,109.51,길동,02 4892704
김선장횟집,"서울특별시 강동구 올림픽로98길 49, 가나안빌딩1 지1층 (암사동)",일식,회,96,암사제1동,02  441 7706
육대장 강동성심병원점,"서울특별시 강동구 성안로 158, (길동,(1층))",한식,"육개장, 한방보쌈",195.52,길동,02   4736868
명태어장 강일점,"서울특별시 강동구 아리수로93길 33-9, 202호 (강일동, 강일프라자)",한식,명태조림,135.69,강일동,02 4417282
선사숯불닭갈비,"서울특별시 강동구 올림픽로 821, 1층 1호 (암사동)",식육(숯불구이),고기,82.24,암사제2동,
할머니 추어탕,"서울특별시 강동구 구천면로 516, (명일동)",한식,추어탕,164.43,명일제2동,
백제추어탕,"서울특별시 강동구 양재대로 1406, (둔촌동)",한식,추어탕,200.43,둔촌제2동,02 4713888
산장가든,"서울특별시 강동구 동남로49길 26, (둔촌동,(2,3층))",한식,쇠고기로스,263.5,둔촌제2동,
와사비,"서울특별시 강동구 동남로75길 13-21, (명일동)",일식,초밥,66.83,명일제2동,02  428 8838
명일샤브샤브칼국수,"서울특별시 강동구 양재대로 1665, (명일동,,305-39)",분식,"버섯매운탕칼국수, 해물칼국수",150.68,명일제1동,234273043
황도바지락칼국수,"서울특별시 강동구 천호대로 1256, (둔촌동,(행정구역개편))",한식,칼국수,286,둔촌제2동,02 4846554
옛날손짜장,"서울특별시 강동구 구천면로 436, (명일동)",중국식,"자장면,중식요리",99,명일제1동,34268600
중경해선 훠궈,"서울특별시 강동구 천호옛길 94-6, (성내동)",중국식,"샤브샤브,훠궈",98.17,성내제2동,
강동일식,"서울특별시 강동구 동남로73길 17, (명일동,우진빌딩)",일식,모둠회,56.25,명일제2동,02 4410566
민물숯불장어,"서울특별시 강동구 구천면로 259, (천호동,1층)",한식,장어구이,148.53,천호제2동,02  487 7002
소쿡 한마리 정육식당,"서울특별시 강동구 상암로 32, (암사동)",한식,"왕갈비, 꽃삼겹",190,암사제2동,02 4290855
쌈촌명일점,"서울특별시 강동구 동남로75길 13, 201호 (명일동,은현빌딩 2층)",한식,샤브샤브,254.07,명일제2동,
오륜정,"서울특별시 강동구 성내로6길 32, (성내동)",한식,돼지갈비,270.26,성내제1동,02 4823698
