업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
이도곰탕,"서울특별시 강남구 논현로94길 29-5, 지상1층,지상2층 (역삼동)",한식,곰탕,194.41,역삼1동,02 5010738
솥내음 스타필드 코엑스몰점,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 O-107호 (삼성동)",한식,직화불백,74.56,삼성1동,
스시히로바,"서울특별시 강남구 삼성로 620, 블래스톤리조트 지상1층 (삼성동)",일식,초밥,216.56,삼성1동,02 5155511
서백자 간장게장,"서울특별시 강남구 삼성로 542, 지상2층 (삼성동, 석천빌딩)",중국식,간장게장,260.3,삼성1동,02  34536008
압구정미역,"서울특별시 강남구 압구정로30길 17, 이소니프라자 지상1층 102,103,104-2,105,106호 (신사동)",한식,,143.15,신사동,
국민한우집 삼성역점(구 칠프로칠백식당 포스코점),"서울특별시 강남구 테헤란로82길 11, (대치동)",경양식,칠백한우동,123.19,대치2동,02555 5245
이즈미,"서울특별시 강남구 언주로 857, 지상1층 (신사동)",한식,회,329.22,신사동,02 5110107
토담골49번지,"서울특별시 강남구 삼성로 766, 유림빌딩 지하1층 2호 (청담동)",한식,정식,218.8,청담동,
홍영재 장수 청국장,"서울특별시 강남구 영동대로 424, 지상1층 (대치동)",한식,청국장,398.68,대치2동,
김태준의 탕탕집,"서울특별시 강남구 학동로4길 12, 1,2층 (논현동)",한식,설렁탕,162.38,논현1동,25113235
불이아,"서울특별시 강남구 언주로 711, (논현동,건설회관지하1층)",중국식,훠궈,393.36,논현2동,02  517 6689
밀밭,"서울특별시 강남구 테헤란로87길 36, 도심공항타워 지하1층 B7호 (삼성동)",분식,손수제비,74.07,삼성1동,
안동찜닭 해물떡찜,"서울특별시 강남구 영동대로 513, 지하1층 M109호 (삼성동, B1 코엑스몰)",한식,안동찜닭,66.36,삼성1동,260026447
니뽕내뽕(코엑스점),"서울특별시 강남구 영동대로 513, 컨벤션센타동 지하1층 H117호 (삼성동, 코엑스몰)",중국식,"자장면,짬뽕",84.83,삼성1동,02  60025151
신의주 부대찌개 삼성점,"서울특별시 강남구 봉은사로108길 3-10, (삼성동)",한식,부대찌개,74.17,삼성1동,02 5385503
지호한방삼계탕,"서울특별시 강남구 영동대로115길 16, 지상1층 (삼성동)",한식,삼계탕,156.42,삼성1동,02 5127283
차이나타운,"서울특별시 강남구 봉은사로63길 7, A동 지상1층 103호 (삼성동, 수목빌딩)",중국식,자장면,37.87,삼성1동,02 5393222
오발탄(주)오발탄에프에스,"서울특별시 강남구 삼성로 606, (삼성동,지상1,2층)",한식,양대창구이,660.82,삼성1동,02 5438656
가원,"서울특별시 강남구 광평로 234, (수서동,지상2,3층)",한식,오리구이,279.2,수서동,
대흥정 엘에이 갈비,"서울특별시 강남구 광평로46길 5-4, 지상1층 (수서동)",한식,불고기,141.34,수서동,
세화정육,"서울특별시 강남구 언주로134길 14, Es Tower 1층 101호 (논현동)",한식,"갈시,고등어구이",189.04,논현1동,234466962
아야진생태찌개,"서울특별시 강남구 삼성로108길 8, (삼성동,(101호))",한식,생태찌개,185.42,삼성1동,02  555 2680
수림복국,"서울특별시 강남구 테헤란로77길 11-13, (삼성동,마룡빌딩지상1층)",한식,복어정식,148.76,삼성2동,5692209
평가옥,"서울특별시 강남구 삼성로95길 37, (삼성동,지상1층)",한식,냉면,215.02,삼성2동,
황소곱창,"서울특별시 강남구 봉은사로82길 16, (삼성동,지상1층)",한식,한우곱창,99,삼성1동,
삼성동 명인등심,"서울특별시 강남구 봉은사로86길 30, (삼성동,지상2층)",한식,한우특등심,264,삼성1동,02 5649049
해랑,"서울특별시 강남구 봉은사로1길 39, 유성빌딩 지상2층 201호,202호 (논현동)",한식,해물탕,215.52,논현1동,02  544 7270
본가 신의주 찹쌀순대,"서울특별시 강남구 영동대로112길 6, (삼성동,지상1층)",한식,,194.88,삼성1동,02 5164840
나무(대치점),"서울특별시 강남구 선릉로86길 37, (대치동)",한식,참치회,360.48,대치4동,
이조식당,"서울특별시 강남구 봉은사로112길 28, (삼성동)",한식,광어회,94.8,삼성1동,02 5630623
공수간 코엑스몰,"서울특별시 강남구 영동대로 513, 컨벤션센터동 지하1층 H116호 (삼성동, 코엑스몰)",분식,"떡볶이, 순대, 김밥",65,삼성1동,
명동칼국수,"서울특별시 강남구 영동대로 513, 지하1층 O104호 (삼성동, 코엑스몰)",일식,"칼국수, 보쌈",160.61,삼성1동,260026533
