업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
양촌리,"서울특별시 강서구 화곡로 109, 1~2층 (화곡동)",한식,"돼지갈비, 삼겹살",456.71,화곡제3동,226988592
이조갈비,"서울특별시 강서구 양천로 353, 1층 (가양동, 1동)",한식,갈비탕,266.45,가양제1동,236613457
능라도,"서울특별시 강서구 마곡동로 56, 건와빌딩 2층 202,203호 (마곡동)",한식,평양냉면,536,가양제1동,269588939
신고집해물찜,"서울특별시 강서구 강서로 188, 1층 (화곡동, 우장산동)",한식,해물찜,158.54,우장산동,226683359
명동가츠라,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",일식,우동,165.75,방화제2동,261165539
마산아구찜,"서울특별시 강서구 금낭화로 135, 3층 (방화동, 3동)",한식,대구탕,102.86,방화제3동,226651527
망향비빔국수,"서울특별시 강서구 양천로 720, 가동 1층 (염창동, 유동빌딩)",한식,비빔국수,264,염창동,226596599
도쿄하나 등촌점,"서울특별시 강서구 공항대로 367, 백제원도쿄오백년장어 2층 (등촌동)",일식,생선회,729.26,등촌제3동,226680880
리미니 NC강서점,"서울특별시 강서구 강서로56길 17, NC 강서점 9층 일부호 (등촌동)",한식,"냉면, 돈가스, 쌀국수",156.8,등촌제3동,226679853
발산삼계탕,"서울특별시 강서구 강서로 344, 1~2층 (내발산동)",한식,삼계탕,307.7,우장산동,236623930
KANS 칸스,"서울특별시 강서구 방화동로5길 12-1, 1층 (방화동)","외국음식전문점(인도,태국등)",칸스부리또,53.12,방화제2동,
동궁찜닭 마곡점,"서울특별시 강서구 마곡중앙2로 5, 메트로비즈타워 1층 110호 (마곡동)",한식,찜닭,50.4,발산제1동,226684282
익스퍼랩(EXPER LAB),"서울특별시 강서구 마곡서로 152, 두산더랜드타워 B동 2층 221호 (마곡동)",경양식,스파게티,97.45,가양제1동,269899388
홍린,"서울특별시 강서구 우장산로15길 25, 1~3층 (화곡동)",중국식,탕수육,326.76,화곡제6동,226086556
도일처,"서울특별시 강서구 개화동로 567, 1~2층 (방화동)",중국식,누룽지해물탕,119,방화제2동,226622322
다이닝원 발산점,"서울특별시 강서구 마곡중앙6로 93, 9층 901~906호 (마곡동, 가양 1동 열린프라자)",일식,뷔페,876.25,가양제1동,236611357
올데이 한식뷔페,"서울특별시 강서구 마곡동로 56, 건와빌딩 2층 201호 (마곡동)",한식,샤브샤브,288.26,가양제1동,226580701
조선갈비,"서울특별시 강서구 공항대로 341, 2~5층 (등촌동)",한식,갈비,818.8,등촌제3동,226589300
아그라,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하1층 (방화동)","외국음식전문점(인도,태국등)",버터치킨마크니,199.35,방화제2동,218007634
맛남굼터,"서울특별시 강서구 강서로45가길 10, 2층 (화곡동, 3동)",한식,숙성삼겹살,174.96,화곡제3동,226996692
일품양평해장국,"서울특별시 강서구 강서로45나길 47, 선재빌딩 1층 (내발산동)",한식,한우생등심,280.5,발산제1동,226614360
국민전통갈비 미소그릴,"서울특별시 강서구 우장산로 119, 1층 (화곡동, 6동)",한식,돼지갈비,98.38,화곡제6동,226979512
베뉴지,"서울특별시 강서구 강서로 388, 그랜드마트 지하1~2층 (등촌동)",뷔페식,뷔페,3649.97,등촌제3동,226572125
문배동육칼 김포공항점,"서울특별시 강서구 하늘길 112, 김포공항 국내선청사 4층 (공항동)",한식,"육개장 칼국수, 사골 칼국수",142.74,공항동,226631980
자연솜씨 이대서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하 1층 (마곡동)",한식,"갈비탕, 제육볶음, 생대구탕",358.7,발산제1동,221355597
현대옥 강서점,"서울특별시 강서구 화곡로 346, 귀뚜라미홈시스텔 1층 101~102호 (화곡동)",한식,전주비빔밥,92.83,화곡제6동,226020069
가든키친(Garden Kitchen),"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 1층 (마곡동)",한식,뷔페,563.92,가양제1동,269467111
엉터리생고기,"서울특별시 강서구 양천로 706, 1층 (염창동)",한식,삼겹살,363.05,염창동,236655336
마실한정식 발산점,"서울특별시 강서구 공항대로 290, 2층 201~202호 (내발산동)",한식,삼겹살,348.43,우장산동,236636639
플레이팅 김포공항점 티엔루,"서울특별시 강서구 하늘길 112, 김포공항 국내선청사 4층 (공항동)","외국음식전문점(인도,태국등)",베트남쌀국수,227.7,공항동,226669386
갯마을식당,"서울특별시 강서구 양천로 362, 도우빌딩 1층 (등촌동)",한식,생선회,170.8,가양제1동,236625112
조코제주똥돼지,"서울특별시 강서구 방화대로47가길 7, 2층 205호 (방화동, 3동 샤르망)",한식,제주생오겹살,95.37,방화제3동,226661662
남다른감자탕(마곡점),"서울특별시 강서구 공항대로 228, 리더스타워마곡 1층 101~102호 (마곡동)",한식,감자탕,107.1,발산제1동,226662001
박가부대 홈플러스강서점,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 4층 (등촌동)",한식,부대찌개,220.93,등촌제1동,236640955
한우정,"서울특별시 강서구 공항대로 195, 힐스테이트에코동익 2층 상가 201~203호 (마곡동)",한식,곰탕,267.89,가양제1동,236648689
촌장골,"서울특별시 강서구 양천로 59, 2층 (방화동)",한식,촌장소왕구이,454.46,방화제1동,226618592
대게나라 발산점,"서울특별시 강서구 공항대로 290, 1층 101호 (내발산동)",한식,대게찜,298,우장산동,236620655
