업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
서울집,"서울특별시 금천구 시흥대로122길 24, 지상1층 (독산동)",한식,식육,90.48,독산제4동,
동흥관,"서울특별시 금천구 시흥대로63길 20, (시흥동,A동 지상1층)",중국식,탕수육,151.04,시흥제1동,02 8033759
백번가 코다리,"서울특별시 금천구 시흥대로 189, 지하1층 B102호 (시흥동)",한식,탕류,103.23,시흥제1동,02 8083557
케이제이푸드,"서울특별시 금천구 가산디지털2로 53, (가산동,한라시그마밸리 B115호)",한식,한식,735.52,가산동,02  63436969
청진동 해장국,"서울특별시 금천구 시흥대로 102, 101호 (시흥동)",한식,선지해장국,109.2,시흥제3동,
델리명가,"서울특별시 금천구 가산디지털2로 14, (가산동,대륭테크노타운12차 B211~B214호(가산디지털2길185))",한식,한식,677,가산동,220296260
우미정,"서울특별시 금천구 시흥대로138길 19, 지상1층 (독산동)",한식,생선회,94.4,독산제3동,02 8520107
제주 탐하리,"서울특별시 금천구 가산로9길 12-8, 가산지웰에스테이트2차 1동 1층 101호 (가산동)",한식,식육,47.48,가산동,02 8659233
주식회사 대성푸드빌(월드점),"서울특별시 금천구 벚꽃로 254, 지하1층  B104호 (가산동, 월드메르디앙벤처센타)",한식,백반,646.92,가산동,221137799
강강술래시흥점,"서울특별시 금천구 시흥대로 193, 아람아이씨티타워 지상1,2층 201~216호 (시흥동)",한식,숯불구이,728.93,시흥제1동,02 8081888
원당감자탕,"서울특별시 금천구 가산디지털1로 70, (가산동,호서대벤처타워 105호)",한식,,170.72,가산동,02  26275353
참숯화로구이,"서울특별시 금천구 가산디지털1로 45, 206,207호 (가산동, 이앤씨드림타워8차)",한식,식육,185.73,가산동,263406777
대호정,"서울특별시 금천구 시흥대로52길 51, (시흥동,지상1층 (대명시장길 16))",한식,식육,117.85,시흥제1동,208020974
수원암소마을,"서울특별시 금천구 시흥대로58길 13, (시흥동,지상1층 (대명시장길13))",한식,식육,97.9,시흥제1동,
정든소문난순대국,"서울특별시 금천구 시흥대로123길 24, (독산동, 지상1층)",한식,순대국,129.9,독산제1동,02 8638429
명가교동짬뽕,"서울특별시 금천구 디지털로9길 46, 103호 (가산동, 이앤씨드림타워7차 지상1층)",중국식,"짜장,짬뽕",106.92,가산동,
부뚜막청국장,"서울특별시 금천구 독산로 242, (독산동,지상1층 (독산동길 127))",한식,청국장,185.62,독산제4동,02 8397828
화로구이,"서울특별시 금천구 범안로 1200, (독산동,지상1,2층 (독산역길 59))",한식,돼지갈비,601.5,독산제1동,02 8948592
미식가,"서울특별시 금천구 가마산로 96, 지상1층 113호 (가산동, 대륭테크노타운8차)",한식,보쌈,136.89,가산동,02 8642563
담가화로구이,"서울특별시 금천구 시흥대로 269, 지상1층 101호 (시흥동, 대현오피스텔)",한식,설렁탕,180.05,시흥제1동,02  804 1175
스시 쥬베이,"서울특별시 금천구 가산로 147, 지상1층 105호 (가산동, 가산지웰에스테이트)",일식,초밥,41.58,가산동,
바르미샤브샤브,"서울특별시 금천구 벚꽃로 266, (가산동, 마리오아울렛3관 13층)",한식,샤브샤브,382.49,가산동,220672454
고기마을 호수,"서울특별시 금천구 벚꽃로 73, (독산동,금천현대아파트 상가동 201호)",한식,,75.26,독산제1동,
파챠이,"서울특별시 금천구 가산디지털1로 88, 106호 (가산동, IT프리미어타워)",한식,자장면,154.75,가산동,
풍년갈비,"서울특별시 금천구 디지털로12길 33, 지상1층 (가산동)",한식,,197.28,가산동,02864 5416
더소울푸드 주식회사,"서울특별시 금천구 가산디지털1로 168, 우림라이온스밸리 B동 지하1층 B126호 (가산동)",한식,한식,986.27,가산동,220264567
엘에이북창동순두부,"서울특별시 금천구 가산디지털2로 53, (가산동,한라시그마밸리 206호)",한식,,144.48,가산동,02  64435353
무드무드,"서울특별시 금천구 탑골로4길 58, (시흥동, 지상1,2층)",한식,,123.55,시흥제2동,02 8023114
밀면의 법칙 (독산점),"서울특별시 금천구 독산로75길 20, 지상1층 (독산동)",일식,회,40,독산제1동,
샤브본 뽕잎사랑 샤브샤브,"서울특별시 금천구 시흥대로 399, 지하1층 B110~112호 (독산동, 시티렉스)",한식,,107.67,독산제1동,
웰빙푸드,"서울특별시 금천구 디지털로9길 32, (가산동,갑을그레이트밸리 B101호)",한식,한식,634.08,가산동,02 8393400
미미초밥,"서울특별시 금천구 시흥대로 192, (시흥동)",횟집,초밥,85.95,시흥제1동,
은행골 2,"서울특별시 금천구 시흥대로 198, (시흥동,지하1층)",일식,,270.22,시흥제1동,02 8094988
