업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
가빈,"서울특별시 구로구 구로동로 174-9, (구로동)",한식,오리고기구이,83,구로제2동,
맛태정식,"서울특별시 구로구 고척로40길 33-6, (고척동)",한식,황태찜,54,고척제2동,226843202
마리오푸드,"서울특별시 구로구 디지털로30길 28, 106,107,108호 (구로동, 마리오타워)",한식,백반(뷔페),680.4,구로제3동,02 8906637
참좋은식당,"서울특별시 구로구 경인로 228, (오류동)",한식,복요리,80,오류제1동,226140205
옛날손짜장,"서울특별시 구로구 구로동로 241, (구로동)",중국식,자장면,25,구로제2동,02862 2074
궁원복집,"서울특별시 구로구 가마산로19길 6-3, 지하1층,지상1층 (구로동)",복어취급,복지리,123.76,구로제2동,02 8670537
화평동왕냉면,"서울특별시 구로구 구로중앙로 219, (구로동,,1층 101,102,103)",한식,냉면,85,구로제2동,
김가네곱창구이,"서울특별시 구로구 도림로 93, (구로동)",한식,모듬곱창,59.22,구로제4동,02  867 0445
진미명가,"서울특별시 구로구 도림로 49-3, (구로동)",한식,갈치조림,29.6,구로제4동,02853 2189
마포갈비,"서울특별시 구로구 고척로19길 44, (개봉동,동남주택 101,102호)",한식,생불고기,95,개봉제1동,02 26898074
미락한식,"서울특별시 구로구 중앙로 101, (고척동)",한식,불고기정식,64.85,고척제2동,226860787
영산홍가,"서울특별시 구로구 경인로25길 25, 1층 (오류동)",한식,홍어삼합,33,오류제1동,02 26860755
우정수육 구로디지털단지역본점,"서울특별시 구로구 디지털로32길 97-6, (구로동)",한식,"수육, 꼬리찜",86.25,구로제3동,02 8390539
중국성,"서울특별시 구로구 서해안로26길 12, 1층 (오류동)",중국식,짜장면,84.94,오류제2동,226856444
이가네낙지마당,"서울특별시 구로구 경서로 12, 대상빌딩 1층 5~8호 (고척동)",한식,생등심,122,고척제1동,
도야미리,"서울특별시 구로구 신도림로 67, (신도림동)",한식,돼지갈비,309,신도림동,226356877
혼마참치,"서울특별시 구로구 구로중앙로19길 28, (구로동)",일식,참치회,158,구로제2동,02 8675857
향촌 숯불 돈갈비,"서울특별시 구로구 중앙로6길 40, (고척동)",식육(숯불구이),돼지갈비,161.28,고척제1동,226160012
곱창대장,"서울특별시 구로구 공원로6나길 46, 1층 (구로동)",한식,곱창구이,104.16,구로제5동,02 8566066
신선설농탕 고척점,"서울특별시 구로구 경인로 385, 2층 (고척동)",한식,설렁탕,364.31,고척제1동,226158080
인창해물섞어탕찜,"서울특별시 구로구 구로동로38길 5, (구로동)",한식,해물칼국수,32,구로제2동,02 8306044
다채 개봉점,"서울특별시 구로구 개봉로23길 38, (개봉동)",한식,쌈밥,363,개봉제1동,226853392
사조참치,"서울특별시 구로구 디지털로32길 97-33, (구로동,(창조1길 19))",일식,참치정식,248.32,구로제3동,02 8643113
개성면옥,"서울특별시 구로구 가마산로 204, (구로동)",한식,냉면,264,구로제2동,02 8692760
타오,"서울특별시 구로구 디지털로 288, 대륭포스트타워1차 지하125,126호 (구로동)",중국식,청요리,222.31,구로제3동,220822888
삼동숯불갈비,"서울특별시 구로구 디지털로27길 57, 1층 (가리봉동)",한식,돼지갈비,165,가리봉동,02 8527616
큰바다수산,"서울특별시 구로구 고척로21길 25, (개봉동)",일식,"생선회, 매운탕",73.16,개봉제1동,02 20601063
전주돌밥추어탕,"서울특별시 구로구 경인로23길 8, 2층 201호 (오류동, 대서프라자)",한식,추어탕,120,오류제1동,226881528
한우리 생고깃간,"서울특별시 구로구 신도림로 2, 2층 (신도림동, 엘림빌딩)",한식,"소고기, 돼지고기",199.7,신도림동,02  26776992
서울회마차,"서울특별시 구로구 고척로 231, (고척동)",일식,광어회,66.2,고척제2동,226867730
옛날마차,"서울특별시 구로구 디지털로32길 97-16, (구로동)",한식,삼겹살,170,구로제3동,02 8538844
누나밥쭈,"서울특별시 구로구 도림로 31-1, (구로동)",한식,감자탕,129.58,구로제4동,02 8575455
향원갈비,"서울특별시 구로구 개봉로20길 18, (개봉동)",식육(숯불구이),깐쇼새우,140,개봉제2동,220669292
우돈생고기,"서울특별시 구로구 개봉로2길 81, (개봉동)",한식,등심,88.92,개봉제3동,02  60124193
이조손칼국수,"서울특별시 구로구 공원로7길 22, (구로동)",한식,칼국수,49.88,구로제5동,02  868 2633
더 에끌라 프리베,"서울특별시 구로구 구로중앙로 134, 1층 (구로동, 신구로자이나인스에비뉴)",뷔페식,,4012.26,구로제5동,02  62757000
개봉 종합 어시장&포장 전문점,"서울특별시 구로구 개봉로 51-1, (개봉동)",한식,보쌈,99.66,개봉제2동,226860193
송림가,"서울특별시 구로구 경인로 398, (고척동)",한식,"꽃등심, 양념갈비",1117.38,고척제1동,
화평동 황제갈비,"서울특별시 구로구 경인로40길 12, (개봉동)",한식,"냉면,갈비",103.72,개봉제1동,226151761
이바돔감자탕 구로역점,"서울특별시 구로구 경인로 572, (구로동,스타팰리스 1층 101.102.119,120호)",한식,소갈비살,146.39,구로제5동,226339600
갈비명가,"서울특별시 구로구 가마산로 260, (구로동)",한식,갈비탕,423.17,구로제4동,02 8537002
한우일번지,"서울특별시 구로구 구로동로28길 25, (구로동)",한식,불고기,55.8,구로제2동,02 8647066
팔각도 신도림역점,"서울특별시 구로구 경인로 643, 205동 1층 116,117,118,119,135호 (신도림동, 신도림2차동아아파트)",식육(숯불구이),닭갈비,182.7,신도림동,02  36679982
주식회사 조마루,"서울특별시 구로구 디지털로32길 97-5, (구로동)",한식,뼈다귀해장국,137.52,구로제3동,02 8652588
황금포차,"서울특별시 구로구 개봉로23가길 76, (개봉동,한마음프라자 101호)",한식,낚지철판,62.67,개봉제1동,226844094
한라참치,"서울특별시 구로구 경인로20길 7, 1,2,3층 (오류동)",한식,참치회,95.6,오류제1동,226110011
만나본가,"서울특별시 구로구 중앙로3길 12, 서봉빌딩 1층 101호 (고척동)",한식,한우등심,150,고척제1동,
명동칼국수?보쌈 구로JNK디지털점,"서울특별시 구로구 디지털로26길 111, B4호 (구로동, JNK디지털타워)",분식,쌀국수,146.85,구로제3동,261245809
금강산,"서울특별시 구로구 구일로 110, 해원리버파크 1층 109, 110, 111호 (구로동)",한식,돼지갈비,170.2,구로제1동,02 8691544
금성관 나주곰탕,"서울특별시 구로구 디지털로32길 92, 1층 101호 (구로동, 미래타워)",한식,나주곰탕,274.09,구로제3동,02860 0088
백채김치찌개 동양미래대학점,"서울특별시 구로구 경인로47길 67, 1층 103호 (고척동)",한식,김치찌개,32,고척제1동,
누리한방삼계탕,"서울특별시 구로구 디지털로 288, 대륭포스트타워1차 지하1층 B131호 (구로동)",한식,한방삼계탕,114.27,구로제3동,02 8665562
풍년옹심이메밀칼국수,"서울특별시 구로구 가마산로27길 18, 대림그린오피스텔 102호 (구로동)",한식,생선회,166.8,구로제5동,02864 8450
등촌칼국수,"서울특별시 구로구 구로중앙로 57, (구로동)",한식,칼국수,162.54,구로제2동,02 8572000
