업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
신호등장작구이&원주골돌솥추어탕,"서울특별시 관악구 봉천로 190, 2층 (신림동)",한식,,275,신림동,02 8754500
정성,"서울특별시 관악구 관악로 154-5, 2층 (봉천동)",일식,초밥,66,낙성대동,02 8850090
이리네 밥상,"서울특별시 관악구 신원로2길 6, 1층 (신림동)",중국식,"돌솥,쌈밥",65.23,신원동,
스미비,"서울특별시 관악구 남부순환로230길 31, 1층 (봉천동)",기타,함박,33,낙성대동,
어시장 활어회,"서울특별시 관악구 봉천로25길 13, 1층 (봉천동)",횟집,회,59.4,은천동,
라페리체,"서울특별시 관악구 관악로14길 34, 지하1층 (봉천동)","외국음식전문점(인도,태국등)",파스타,118.4,낙성대동,
만양순대국소머리국밥(본점),"서울특별시 관악구 은천로 132, 1층 (봉천동)",한식,순대국,150,중앙동,208139633
소담 숯불갈비집,"서울특별시 관악구 난곡로66길 11, 1층 (신림동)",한식,갈비,86.07,신사동,
신흥 정육식당,"서울특별시 관악구 장군봉1길 3, 1층 (봉천동)",식육(숯불구이),구이,21.7,청룡동,02 8685738
제주국수임당,"서울특별시 관악구 관악로12길 5, 2층 (봉천동)",한식,국수,92.5,낙성대동,
신방통통 낙지,"서울특별시 관악구 남부순환로 1663, 1층 (봉천동)",한식,낙지덮밥,248.63,은천동,02 8216550
aran(아란),"서울특별시 관악구 봉천로 401-1, 지상1층 (봉천동)",한식,스테이크,63.19,은천동,
샤브로 21 샤로수,"서울특별시 관악구 관악로 154-6, (봉천동)",분식,샤브,63.6,낙성대동,02 8749878
풍년집,"서울특별시 관악구 남부순환로230길 32, 1층 (봉천동)",한식,구이,30,낙성대동,
포천이동갈비촌,"서울특별시 관악구 신원로 40-12, 1,2층 (신림동)",한식,갈비,130.11,서원동,02 8847109
국수당,"서울특별시 관악구 남부순환로 1881, 태화빌딩 1층 (봉천동)",한식,국수,26.44,행운동,
청진동해장국봉천점,"서울특별시 관악구 청룡1길 25, (봉천동)",호프/통닭,해장국,29.96,청룡동,
대구한뽈때기,"서울특별시 관악구 봉천로7길 19, (봉천동,지상1층)",한식,대구탕,54.66,보라매동,288688889
남원추어탕,"서울특별시 관악구 조원로8길 3, 지상1층 (신림동)",한식,추어탕,45.28,조원동,02 8628937
어부사시가,"서울특별시 관악구 관악로14길 31, (봉천동)",분식,생선구이,27.95,낙성대동,02 8757056
고흥식당,"서울특별시 관악구 난우길 34, 2층 (신림동)",한식,찌개,84.94,미성동,
명가김치찌개,"서울특별시 관악구 조원로 127, (신림동,지상1층)",한식,찌개,47.4,신사동,02 8395611
