업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
명가네남원추어탕,"서울특별시 광진구 능동로37길 11, 1층 (중곡동)",한식,추어탕,170,중곡제1동,02 4615977
마루카츠,"서울특별시 광진구 아차산로41길 22, 1층 (자양동)",일식,돈가스,46.2,자양제1동,
송화,"서울특별시 광진구 아차산로51길 24, 1~2층 (구의동)",한식,"돼지갈비, 삼겹살",171.99,구의제1동,02 4476780
송화양꼬치,"서울특별시 광진구 동일로18길 70, (자양동)",중국식,양꼬치,127.19,자양제4동,02 4627826
포크포크,"서울특별시 광진구 동일로22길 117-16, (화양동)",기타,"돈가스, 냉면",46.06,화양동,
푸른바다,"서울특별시 광진구 동일로60길 49, 1층 (군자동)",한식,갈비,74.1,군자동,02   4985752
유성집,"서울특별시 광진구 천호대로137길 9, 지하2층 (구의동)",한식,등심,162.33,구의제2동,02 4546999
니뽕내뽕,"서울특별시 광진구 동일로20길 60, 1층 (자양동)",중국식,짬뽕,82,자양제4동,02 4991828
망향비빔국수,"서울특별시 광진구 천호대로 694, (구의동,(1층))",한식,비빔국수,171.42,구의제2동,02 4541357
무등산샤브,"서울특별시 광진구 아차산로31길 6, (화양동)",한식,닭한마리,104.5,화양동,02 4983027
도치피자 강변,"서울특별시 광진구 아차산로62길 14-4, 1,2층 (구의동)",경양식,피자,163.73,구의제3동,02 4468006
군자닭갈비,"서울특별시 광진구 능동로 315, 1층 (중곡동)",한식,닭갈비,64.48,중곡제1동,262459888
연경,"서울특별시 광진구 자양로 135, 1층 (자양동)",한식,두부요리,278.46,자양제1동,02 5931233
부림정,"서울특별시 광진구 능동로 18, 지하1층 B01-1호 (자양동, 이튼타워리버3차)",한식,갈비,192.58,자양제3동,02 4991714
전주가,"서울특별시 광진구 자양로42길 2, 1층 101호,102호 (구의동)",한식,콩나물국밥,84.19,구의제2동,02 4468644
최원석의돼지한판&서해쭈꾸미건대1호점,"서울특별시 광진구 아차산로 199, (화양동)",한식,"돼지고기, 쭈꾸미요리",105.61,화양동,02 4611272
크래버대게나라,"서울특별시 광진구 천호대로 611, 1층 (중곡동)",기타,대게정식,199.21,중곡제2동,02 4560277
상구네솥뚜껑삼겹살,"서울특별시 광진구 능동로 387, (중곡동)",한식,갈치조림,82.82,중곡제1동,02 4646118
중일가든,"서울특별시 광진구 아차산로76가길 4, (광장동)",한식,꽃등심,362.08,광장동,02 4543770
무교동낙지구의점,"서울특별시 광진구 아차산로 464, (구의동)",한식,낙지볶음,165.78,구의제3동,02 4462565
미가담,"서울특별시 광진구 자양로 165, 1층 (구의동)",호프/통닭,보리밥,82.5,구의제1동,02 22019595
민속손국시,"서울특별시 광진구 아차산로 458, (구의동)",분식,칼국수,77.37,구의제3동,02 4447833
신선설농탕자양점,"서울특별시 광진구 자양로 139, (자양동)",한식,설렁탕,88.17,자양제1동,02 4547944
예담밥상,"서울특별시 광진구 동일로22길 13, (화양동)",한식,한정식,72.46,화양동,02 4690072
옛집,"서울특별시 광진구 아차산로76가길 18, (광장동)",한식,김치찌개,69.95,광장동,222014369
