식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그
명동정,중구,Y,Y,N,N,Y,"룸,모범음식점,트립어드바이저"
봉추찜닭,중구,N,N,N,Y,N,"모범음식점,씨트립,포장가능"
금계찜닭,중구,N,N,N,N,N,포장가능
명동한우방,중구,N,Y,N,N,N,"룸,씨트립,포장가능"
삼호복집,서대문구,Y,N,N,Y,Y,"룸,모범음식점,포장가능"
대포찜닭,서대문구,N,N,N,N,Y,"안심식당,포장가능"
카페 종로시장,종로구,N,Y,N,Y,N,"씨트립,포장가능"
크랩회피쉬,중구,Y,Y,N,N,N,"룸,트립어드바이저"
엔그릴,용산구,N,N,N,N,Y,모범음식점
곰국시집,중구,N,Y,N,Y,Y,"모범음식점,트립어드바이저,포장가능"
왕십리 이모네곱창,중구,N,Y,N,N,N,포장가능
놀부보쌈놀부부대찌개,중구,N,N,N,N,Y,"모범음식점,트립어드바이저,포장가능"
853,종로구,N,N,N,N,N,
지화자,종로구,Y,Y,N,N,Y,"블루리본,씨트립"
반짝반짝빛나는,종로구,N,N,N,Y,N,"블루리본,포장가능"
연타발,강남구,Y,Y,N,Y,Y,"모범음식점,트립어드바이저,포장가능"
부엉이돈가스,용산구,N,Y,N,N,Y,포장가능
박사네갈비,종로구,N,N,N,N,Y,
폴인팬케이크,강남구,N,Y,N,N,Y,
양연화로,종로구,Y,Y,N,N,Y,
오븐에빠진닭,중구,N,N,N,N,N,"트립어드바이저,포장가능"
공룡슈퍼,종로구,N,N,N,N,N,
차돌박힌쭈꾸미,종로구,N,N,N,N,N,
옛날집,마포구,N,Y,N,N,N,
한가람,중구,N,Y,N,N,N,"모범음식점,트립어드바이저,포장가능"
삼정집,강서구,Y,Y,N,N,N,포장가능
경복궁,종로구,N,Y,N,N,N,
진향족발,종로구,N,N,N,N,Y,포장가능
잘빠진메밀,종로구,N,Y,N,N,N,포장가능
연타발,강남구,Y,Y,N,N,Y,포장가능
육대장,중구,N,N,N,N,N,포장가능
순미네 행복게장,중구,Y,Y,N,N,Y,포장가능
금성관나주곰탕,중구,N,Y,N,N,Y,"룸,포장가능"
하남돼지집,강남구,N,N,N,N,Y,포장가능
미쓰족발,중구,N,N,N,N,N,포장가능
유아히어카페,중구,N,N,N,N,N,포장가능
잘빠진메밀,종로구,N,Y,N,N,N,"트립어드바이저,포장가능"
연타발,중구,Y,Y,N,N,Y,포장가능
일번지곱창,중구,N,N,N,N,N,
연타발,중구,N,Y,N,N,Y,포장가능
콩뼈숯뼈감자탕,중구,N,N,N,N,N,포장가능
곰국시집,송파구,Y,Y,N,N,Y,룸
63뷔페 파빌리온,영등포구,Y,N,N,N,N,"룸,블루리본,트립어드바이저"
슈치쿠,영등포구,Y,N,N,N,N,"룸,모범음식점,블루리본,안심식당,트립어드바이저"
워킹온더클라우드,영등포구,Y,N,N,N,Y,"모범음식점,블루리본,씨트립,안심식당,트립어드바이저"
백리향,영등포구,Y,N,N,N,N,"모범음식점,블루리본,씨트립,안심식당,트립어드바이저"
보돌미역,중구,N,Y,N,Y,Y,포장가능
너비집,중구,N,N,N,Y,N,"룸,모범음식점,씨트립,포장가능"
라온,중구,N,Y,N,N,N,포장가능
둘레골,종로구,Y,N,N,N,N,"모범음식점,포장가능"
뉘조,종로구,N,Y,N,N,Y,"모범음식점,블루리본,씨트립,안심식당,트립어드바이저"
양반댁,종로구,N,N,N,N,Y,"모범음식점,씨트립,안심식당,트립어드바이저"
조금,종로구,N,N,N,N,N,"블루리본,트립어드바이저"
사동면옥,종로구,N,N,N,N,N,"모범음식점,씨트립"
하누소,종로구,N,N,N,N,N,안심식당
소호정,송파구,Y,N,N,N,N,모범음식점
라이스앤파스타,송파구,N,N,N,N,N,"모범음식점,씨트립"
매화반점,광진구,N,Y,N,Y,Y,"모범음식점,블루리본,트립어드바이저"
대박감자탕,강서구,Y,N,N,Y,N,"모범음식점,안심식당"
교동짬뽕,송파구,N,Y,N,Y,N,"모범음식점,포장가능"
경회루,노원구,Y,Y,N,N,Y,모범음식점
고구려,영등포구,Y,N,N,Y,N,"모범음식점,안심식당,포장가능"
너섬가,영등포구,N,N,N,Y,N,모범음식점
능이버섯백숙,중랑구,Y,N,N,N,N,"모범음식점,안심식당"
오발탄,송파구,Y,N,N,N,N,"모범음식점,블루리본"
오발탄,서초구,N,N,N,N,N,모범음식점
마장동한우촌,성동구,Y,Y,Y,Y,Y,모범음식점
이춘복참치,강서구,Y,Y,N,N,Y,"모범음식점,안심식당,포장가능"
목란,서대문구,Y,N,N,N,N,"모범음식점,블루리본,트립어드바이저"
기와집,노원구,N,N,N,Y,N,모범음식점
참좋은스파스낵,구로구,N,N,N,N,N,
동해도,영등포구,Y,Y,N,N,Y,"모범음식점,씨트립,트립어드바이저,포장가능"
충무로 부산복집,송파구,N,Y,N,N,Y,"모범음식점,씨트립"
황토추어탕,강동구,N,N,N,Y,N,"모범음식점,안심식당"
타오,구로구,Y,Y,N,N,Y,"모범음식점,안심식당"
가마솥손두부,동작구,N,N,N,N,Y,모범음식점
태능식당,마포구,N,N,N,N,N,
우담,강남구,N,N,N,N,N,
굴다리전주콩나물국밥,광진구,N,Y,N,Y,N,모범음식점
육백더육백,성동구,N,N,N,Y,N,모범음식점
고운님 한우곱창,강남구,Y,Y,N,N,N,"모범음식점,트립어드바이저"
장수닭한마리손칼국수,광진구,N,N,N,Y,N,모범음식점
오복순대국,양천구,Y,Y,N,N,Y,모범음식점
한우설렁탕,성북구,N,N,N,N,N,"모범음식점,안심식당"
콩두,양천구,N,N,N,N,N,"모범음식점,안심식당"
오우가,중구,N,N,N,N,N,
어라연 참치&스시,광진구,Y,N,N,N,Y,"모범음식점,트립어드바이저"
옥이순대국,양천구,N,N,N,N,N,모범음식점
매꼬만 명태찜,금천구,N,N,N,N,N,
여자만,종로구,N,N,N,N,N,
구본가첨벙,강남구,N,N,N,Y,N,모범음식점
쿤스트할레,강남구,N,N,N,N,N,
영산홍가,구로구,N,N,N,N,N,모범음식점
예소담,강남구,N,N,N,N,N,트립어드바이저
탕의신홍대포,강동구,Y,N,N,N,N,모범음식점
콩사랑두부,도봉구,Y,N,N,N,Y,"모범음식점,안심식당"
명륜진사갈비,중랑구,N,N,N,N,N,
성공시대필팔추어탕,중랑구,N,N,N,N,N,"모범음식점,안심식당"
낙지와볼테기,양천구,N,N,N,N,N,"모범음식점,안심식당"
노란상소갈비,강남구,Y,N,N,N,Y,모범음식점
디코레 북창동 순두부,중구,N,N,N,N,Y,"모범음식점,포장가능"
명동칼국수,금천구,Y,Y,N,N,N,모범음식점
소천지,구로구,N,N,N,N,N,모범음식점
위닝,용산구,N,N,N,N,N,모범음식점
인생설렁탕,동대문구,N,N,N,N,N,포장가능
미스터 향,강남구,Y,Y,N,N,Y,포장가능
진궁,강남구,Y,Y,N,N,Y,포장가능
칭닌,마포구,N,N,N,N,N,
애슐리퀸즈,강서구,Y,N,N,N,N,"모범음식점,안심식당"
짚불구이 본가,송파구,N,N,N,N,N,
상하이몽,영등포구,N,N,N,N,N,모범음식점
회뜨는집,강동구,N,N,N,N,N,모범음식점
예가낙지마을,구로구,Y,Y,N,N,Y,모범음식점
차이웬,은평구,N,N,N,N,N,모범음식점
삼다돈가,관악구,N,N,N,N,N,"모범음식점,안심식당"
예소반,관악구,Y,N,N,Y,Y,"모범음식점,안심식당"
