업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
(주) 육전국밥대학로점,"서울특별시 종로구 동숭길 117, 한석빌딩 지상 3층 (동숭동)",한식,"육전국밥, 곰탕",190,이화동,
도담 1988,"서울특별시 종로구 인사동10길 11-5, 1층 (관훈동)",한식,"막걸리, 전",59.5,종로1.2.3.4가동,02  730 2985
지어앤 (CHOEN),"서울특별시 종로구 종로51길 23-9, 1층 (창신동)",식육(숯불구이),감자탕,48.92,창신제1동,02  741 0607
스윗샐러드,"서울특별시 종로구 종로1길 50, 더케이트윈타워 지하1층 (중학동)",경양식,샐러드,64.81,종로1.2.3.4가동,02 733 3225
이대감 고깃집,"서울특별시 종로구 수표로 96, (관수동)",한식,"갈비탕, 갈빗살, 불고기",793.39,종로1.2.3.4가동,02  22651400
엔차이,"서울특별시 종로구 새문안로3길 36, (내수동,용비어천가 지층 B103호)",중국식,짜장면,135.15,사직동,
대가곱창,"서울특별시 종로구 명륜길 53, (명륜3가,(지상1층))",한식,"곱창, 막창",29.37,혜화동,02  747 3827
오두막,"서울특별시 종로구 새문안로9길 24-5, (도렴동)",기타,곤드레밥,23.14,사직동,02  734 3371
박가네 빈대떡,"서울특별시 종로구 동호로 403-16, 1~2층 (종로5가)",한식,육회,74.63,종로5.6가동,
박가네,"서울특별시 종로구 종로32길 7, 2층 (종로5가)",분식,빈대떡,91.8,종로5.6가동,
신안촌,"서울특별시 종로구 사직로12길 8, (내자동,,153,154-1,155-1 (1층))",분식,"낙지, 홍어",99.98,사직동,02 725 7744
만가,"서울특별시 종로구 사직로 103-19, (필운동,(지상1층))",한식,"장어, 생등심",110,사직동,02720 5797
삼대,"서울특별시 종로구 돈화문로11다길 3, (돈의동)",한식,장어,122,종로1.2.3.4가동,02  22348877
일산칼국수,"서울특별시 종로구 삼일대로15길 6, 1층 (관철동)",한식,칼국수,152.23,종로1.2.3.4가동,02  733 3131
인사동두부마을,"서울특별시 종로구 인사동길 30-12, (관훈동)",한식,콩요리,88.02,종로1.2.3.4가동,02 7359996
청진옥,"서울특별시 종로구 종로3길 32, 1~4층 (청진동)",한식,해장국,426.92,종로1.2.3.4가동,02  735 1690
남대문막내횟집,"서울특별시 종로구 우정국로 4-1, (관철동)",일식,회,91.78,종로1.2.3.4가동,02 7348653
흑궁 흑염소 광화문점,"서울특별시 종로구 사직로8길 42, 지하1층 103, 104호 (내수동, 광화문시대)",경양식,칼국수,94.8,사직동,02 733 3066
정선곤드레쌈밥,"서울특별시 종로구 평창문화로 152, 101,102,103호 (평창동, 평창동 안성타워)",한식,쌈밥,115.71,평창동,02 3795669
양평추어탕,"서울특별시 종로구 자하문로10길 10-17, (통의동)",분식,추어탕,52.78,사직동,02 7325507
서촌친구네,"서울특별시 종로구 사직로 103-4, (내자동)",기타,육류,94,사직동,02 7305611
페르시아궁전,"서울특별시 종로구 성균관로6길 9, 지하1,지상1층 (명륜2가)",기타,카레,206.01,혜화동,02 7636050
이문 설농탕,"서울특별시 종로구 우정국로 38-13, (견지동,지상1층)",한식,설렁탕,128.26,종로1.2.3.4가동,02  733 6526
명작 신의주 찹쌀순대,"서울특별시 종로구 사직로8길 4, (사직동,풍림스페이스본 202동 지상1층 104호)",한식,순대국,82.46,사직동,02 737 6484
의정부부대찌개 앤 돈까스,"서울특별시 종로구 우정국로 45-7, (견지동,(지상2층))",한식,부대찌개,119.88,종로1.2.3.4가동,02 7345552
왕비집 종로점,"서울특별시 종로구 삼일대로15길 24, (관철동,지상2층~4층)",한식,고기,242.4,종로1.2.3.4가동,02 7383892
본고향맛집,"서울특별시 종로구 지봉로 16, (숭인동,1층)",한식,한정식,307.26,숭인제1동,222343392
평가옥,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 8,12,13,14호 (당주동)",한식,전골,278.16,사직동,02 7321566
채선당 동묘역점,"서울특별시 종로구 종로 347, 지하1층 113~138호 (숭인동, 롯데캐슬상가)",기타,샤브샤브 전골,224.58,숭인제1동,02 7422990
향나무세구루,"서울특별시 종로구 삼청로 100, (삼청동)",한식,삼겹살,57.95,삼청동,02 7209524
조마루(신설동점),"서울특별시 종로구 난계로29길 37, (숭인동)",한식,감자탕,90.15,숭인제2동,02 22384104
풍천손가네민물장어,"서울특별시 종로구 종로51가길 2-1, 1층 (창신동)",한식,장어구이,107.36,창신제2동,236730510
나무향기,"서울특별시 종로구 세종대로23길 47, 1층 108호 (당주동)",한식,오리통삼겹 장작구이,343,사직동,02  723 8981
평창동 북악정,"서울특별시 종로구 평창36길 6, 지하,지상1,2층 (평창동)",한식,"갈비, 등심",451.81,평창동,02  943 2495
한일옥,"서울특별시 종로구 수표로 94, (관수동, 지하1층~지상1층)",한식,갈비탕,273.16,종로1.2.3.4가동,222657707
솔밭숯불갈비,"서울특별시 종로구 삼일대로28길 5, (낙원동)",한식,숯불갈비,72.94,종로1.2.3.4가동,207653055
대평갈비,"서울특별시 종로구 평창문화로 83, 지상2,3층 (평창동)",한식,한방갈비탕,558.55,평창동,02 3955288
스파게티가있는풍경,"서울특별시 종로구 새문안로 103-1, 2층 (신문로1가)",기타,스파게티,91.24,사직동,02 7387018
용금옥,"서울특별시 종로구 자하문로 41-2, (통인동)",탕류(보신용),추어탕,76.78,청운효자동,02 7774749
태진복집,"서울특별시 종로구 자하문로10길 10-24, 지상1,2층 (통의동)",복어취급,복지리,233.28,사직동,207333730
옥정,"서울특별시 종로구 인사동12길 18, 1층 (관훈동)",한식,한정식,53.02,종로1.2.3.4가동,02 7335412
(주)베이징코야,"서울특별시 종로구 율곡로2길 29-1, 지하1층 (수송동)",중국식,북경오리구이,621,종로1.2.3.4가동,02  313 5292
인사동 여자만,"서울특별시 종로구 인사동14길 24-2, 1층 (관훈동)",한식,한정식,137.82,종로1.2.3.4가동,02 7231238
하누소,"서울특별시 종로구 삼일대로 428, (낙원동)",한식,갈비탕,552.75,종로1.2.3.4가동,02 7399990
김가네대청마루,"서울특별시 종로구 인사동4길 17, (경운동)",한식,돼지갈비,234.66,종로1.2.3.4가동,02 7331338
무교삼계탕,"서울특별시 종로구 인사동7길 37, (관훈동)",한식,삼계탕,76.2,종로1.2.3.4가동,
(주)토속촌삼계탕,"서울특별시 종로구 자하문로5길 5, 지상1층 (체부동, (체부동 86-1,2,3))",한식,삼계탕,440.86,사직동,207377444
진고집 동해 동태탕,"서울특별시 종로구 지봉로 26-1, 1층 (숭인동)",한식,곰탕,158.4,숭인제2동,02 22367006
함흥곰보냉면,"서울특별시 종로구 창경궁로 109, 401,405호 (인의동)",한식,냉면,334.75,종로1.2.3.4가동,222732833
별미삼청수제비,"서울특별시 종로구 삼청로 101-1, (삼청동)",한식,수제비,106.4,삼청동,02 7352965
금해 복집,"서울특별시 종로구 진흥로 461, 1,2층 (구기동)",일식,활지리,341.45,평창동,02 3955656
종로진낙지,"서울특별시 종로구 수표로 122, 1,2층 (낙원동)",한식,낙지,118.32,종로1.2.3.4가동,02 7420621
일품당샤브샤브,"서울특별시 종로구 세종대로23길 25, 1,2층 (당주동)",한식,샤브샤브,177.64,사직동,02 7337949
양반댁,"서울특별시 종로구 인사동길 19-18, 1층 (인사동)",한식,한정식,72.49,종로1.2.3.4가동,02 7301112
하나로회관,"서울특별시 종로구 인사동5길 25, (인사동)",한식,"불고기, 김치찌개",296.55,종로1.2.3.4가동,207327451
더레스토랑,"서울특별시 종로구 삼청로 54, 지하1,지상1,2층 (소격동)",경양식,스테이크,408.19,삼청동,02 7358441
송전,"서울특별시 종로구 종로 14, (서린동)",일식,생선회,148.12,종로1.2.3.4가동,02 7398282
감촌,"서울특별시 종로구 종로 19, 5층 511호 일부, 512호 (종로1가)",한식,순두부,244.56,종로1.2.3.4가동,02 7337035
들풀식당,"서울특별시 종로구 자하문로 118, (청운동)",한식,한정식,97.79,청운효자동,02 7204323
된장예술과 술,"서울특별시 종로구 대학로11길 9-2, 1,2층 (명륜4가)",분식,된장정식,150.04,혜화동,02 7454516
궁나라냉면.묵밥,"서울특별시 종로구 지봉로12길 6, 1층 (숭인동)",한식,"냉면,묵밥",115.5,숭인제1동,02744 4701
뉘조,"서울특별시 종로구 인사동14길 27, 1층 (관훈동)",한식,한정식,95.01,종로1.2.3.4가동,02 7309311
(주)석파랑,"서울특별시 종로구 자하문로 309, 1층 (홍지동)",한식,한정식,183.42,부암동,02395 2500
명원숯불갈비,"서울특별시 종로구 통일로12길 8, (행촌동)",한식,돼지갈비,108.32,교남동,02 7384744
눈나무집,"서울특별시 종로구 삼청로 136-1, 1,2,3층 (삼청동)",한식,"떡갈비,김치말이국수",103.56,삼청동,02 7396742
