업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
마작골,"서울특별시 중구 퇴계로88길 21, 1층 (신당동)",한식,흑염소탕,100,신당제5동,
푸드익스체인지,"서울특별시 중구 을지로 238, 20층 (을지로6가)",뷔페식,뷔페,480.74,광희동,234258000
고려삼계탕,"서울특별시 중구 서소문로11길 1, (서소문동)",한식,삼계탕,257.14,소공동,02 7529376
황금목장(명동성당점),"서울특별시 중구 명동10길 23, (명동2가,외1필지(지상3층))",한식,구이류,198.84,명동,02  318 2426
신가원 설렁탕,"서울특별시 중구 을지로1길 10, (을지로1가,(지상1층,2층))",한식,설렁탕,115.18,명동,02 7788898
남산등심,"서울특별시 중구 퇴계로18길 26, (남산동1가,(지상1층,지상2층))",중국식,육류구이,112.49,명동,
오징어 풍경,"서울특별시 중구 다동길 5, 광일빌딩 1층 (무교동)",한식,생선회,252.12,명동,02756 0777
을지다락,"서울특별시 중구 수표로10길 19, 4층 (초동)",경양식,파스타오므라이스,59.31,을지로동,
미소 로바다야끼,"서울특별시 중구 마른내로 41, (초동,외2필지(지상1층103호))",일식,생선회,72.43,을지로동,02  325 1360
전설의 우대갈비(서울시청 직영점),"서울특별시 중구 남대문로9길 40, 2층 206,207,208,209호 (다동)",한식,육류구이,188.77,명동,260318919
오이드킨(OIDKIN),"서울특별시 중구 서애로1길 2, 2층 (필동3가)",일식,"덮밥,우동",58.87,필동,
치소우 다이닝,"서울특별시 중구 다산로35길 19, 1층 (신당동)",일식,"텐동,라멘",120,신당동,
르뱅드서울,"서울특별시 중구 소공로 35, 1층 120호 (회현동1가, 남산 롯데캐슬)",한식,피자파스타,44,회현동,02  790 9008
파티n프렌즈,"서울특별시 중구 다산로46길 17, (흥인동, 지하1층(101호,103호~149호,151호~153호))",뷔페식,뷔페,2118.02,신당동,02  432 4400
제주본가,"서울특별시 중구 을지로1길 8, 지상1,2층 (을지로1가)",한식,삼겹살,70.6,명동,
본스치킨 동대문점,"서울특별시 중구 마른내로 169, (광희동1가, 1층)",호프/통닭,튀김닭,97.32,광희동,02  22739599
담비곱창,"서울특별시 중구 남대문로9길 40, (다동, YG타워 1층 106호)",한식,곱창,52.46,명동,02  60318909
발라닭 신당점,"서울특별시 중구 퇴계로 411-34, 1층 (흥인동)",호프/통닭,튀김닭,132,신당동,50714353221
명운 참 숯불구이,"서울특별시 중구 다산로42다길 48, 한국문서선교회 1층 (신당동)",한식,돼지갈비,121.2,신당동,02  22336657
양문 을지로점,"서울특별시 중구 수표로 43, (저동2가)",호프/통닭,,74.31,을지로동,222631102
돌담길,"서울특별시 중구 서소문로9길 28, 지하1층 B123호 (순화동, 덕수궁롯데캐슬)",한식,삼겹살,53.3,소공동,
을지로 전주옥,"서울특별시 중구 을지로 101, 1층 (을지로2가)",한식,불갈비찜,160,명동,222791710
토닭토닭,"서울특별시 중구 중림로 31, 지하1층 B01호 (중림동)",한식,"아구찜, 코다리냉면",105.84,중림동,02  60806677
미진일식,"서울특별시 중구 다동길 16, (다동,지하1층)",일식,"생선회, 초밥",261.67,명동,02  777 1561
삼삼뼈국 막국수 충무로점,"서울특별시 중구 퇴계로44길 16, 1층 (필동2가)",한식,,66.04,필동,222852650
소위식품,"서울특별시 중구 퇴계로73길 28, 동원빌딩 1층 102호 (흥인동)",한식,고기,33,신당동,02  22310678
뚱뚱이 할머니집,"서울특별시 중구 장충단로 174-1, (장충동1가,(지상1층,지상2층))",한식,족발,39.67,장충동,02  22792714
명동중일회관,"서울특별시 중구 퇴계로18길 18, (남산동1가)",한식,한우,43.04,명동,
중일회관,"서울특별시 중구 명동길 25-4, (명동1가)",일식,한우불고기,161,명동,02 773 2882
