업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
중랑맛집 신쭈꾸미,"서울특별시 중랑구 동일로109길 71, 1층 (면목동)",기타,쭈꾸미 볶음,66.96,면목제2동,
양지촌,"서울특별시 중랑구 망우로 184, (상봉동)",식육(숯불구이),소갈비,454,상봉제2동,02  22074200
암사식당,"서울특별시 중랑구 상봉로 32, 1층 (면목동)",복어취급,"아귀찜, 탕",92.3,면목본동,02 4955448
황기닭곰탕,"서울특별시 중랑구 동일로 633, 세진빌딩 1층 (면목동)",한식,닭곰탕,160.32,면목제2동,
성공시대,"서울특별시 중랑구 동일로 633, 세진빌딩 2층 (면목동)",한식,오리고기,160.32,면목제2동,24329992
옛날할머니분식,"서울특별시 중랑구 중랑역로 14-1, 세미피아노 1층 (중화동)",분식,즉석 떡볶이,181.5,중화제2동,
하늘정원더파티,"서울특별시 중랑구 숙선옹주로 6-9, (묵동,묵동자이프라자 1단지 B101~105,B110호)",뷔페식,뷔페,862.93,묵제1동,02  978 6677
홍메밀X진갈비탕,"서울특별시 중랑구 동일로163길 7, (묵동)",한식,"메밀면, 갈비탕",75.16,묵제2동,232961900
대가한방흑염소전문점,"서울특별시 중랑구 동일로 766, 세화빌딩 1층 (중화동)",탕류(보신용),흑염소탕,188.5,중화제1동,
바다회천국,"서울특별시 중랑구 중랑천로12길 40, (상봉동)",횟집,"광어, 우럭",93.46,상봉제2동,02 4388437
아구아구아구찜,"서울특별시 중랑구 공릉로 32, B8호 (묵동,묵동공감대아파트상가 지층)",한식,"찜, 탕",84.93,묵제1동,02  974 7300
바지락손칼국수,"서울특별시 중랑구 용마산로 464, 1층 (망우동)",기타,칼국수,41,망우제3동,
온초심숯불닭갈비,"서울특별시 중랑구 면목로 330-1, 1층 (면목동)",한식,닭갈비,74.4,면목제3.8동,02  434 4408
옛날순대국,"서울특별시 중랑구 사가정로53길 14, 좌측두번째,1층우측첫번째 1층 (면목동)",한식,순대국,52.19,면목제3.8동,02  433 0242
아라수산,"서울특별시 중랑구 신내로 211, 금강리빙스텔 1층 122, 123호 (신내동)",횟집,"초밥, 회",72.67,신내2동,
벌교 계절맛집,"서울특별시 중랑구 용마산로 713, 2층 (신내동)",한식,"꼬막전, 보리굴비",129.38,신내1동,02  436 9478
올바른솥뚜껑삼겹살 중화점,"서울특별시 중랑구 동일로 771, 1층 (중화동)",식육(숯불구이),생소갈비살,78,중화제2동,
착한먹거리,"서울특별시 중랑구 동일로 825, 1층 (중화동)",중국식,"마라탕, 마라샹궈",110,중화제1동,
육즙,"서울특별시 중랑구 겸재로 209, 1층 (면목동)",한식,삼겹살,95,면목제2동,
다함닭갈비 먹골역직영점,"서울특별시 중랑구 공릉로 32, B06호 (묵동)",식육(숯불구이),닭갈비,98,묵제1동,02  977 7825
중희 부대찌개,"서울특별시 중랑구 겸재로9길 36, 1층 (면목동)",한식,부대찌개,49.49,면목제2동,24370666
꾸꾸가문 남원추어탕,"서울특별시 중랑구 용마산로 452, (망우동)",한식,추어탕,125.6,망우제3동,215669971
소먹날 소한마리 정육식당,"서울특별시 중랑구 용마산로115길 76, (망우동)",식육(숯불구이),고기,82.4,망우본동,
능이마을 사가정점,"서울특별시 중랑구 면목로39길 24, (면목동)",기타,능이오리,117.84,면목제7동,
농띠,"서울특별시 중랑구 봉화산로 243, 1층 (신내동)",식육(숯불구이),고기,164.18,신내1동,
미당 (味堂),"서울특별시 중랑구 상봉로 10, 1층 (면목동)",냉면집,갈비탕,93.6,면목제3.8동,
장위동유성집,"서울특별시 중랑구 동일로 823-1, (중화동)",식육(숯불구이),등심,89.86,중화제2동,02495 6096
미스터아구 신내점,"서울특별시 중랑구 봉화산로 250, 1층 (신내동)",한식,아귀찜,181.7,신내1동,
상봉갈비,"서울특별시 중랑구 봉우재로 111, 1층 103,104,105호 (상봉동, 역세권청년주택)",식육(숯불구이),돼지갈비,179.87,상봉제2동,
상하이,"서울특별시 중랑구 면목로 223, (면목동)",중국식,"짜장면, 짬뽕",85,면목제4동,
이대감화로구이,"서울특별시 중랑구 중랑역로 25, (중화동)",식육(숯불구이),돼지갈비,82.76,중화제2동,02 4337751
무교동 낙지나라,"서울특별시 중랑구 면목로 302, (면목동)",한식,낚지볶음,157.99,면목제7동,02  491 6601
흥부골숯불돼지왕갈비,"서울특별시 중랑구 면목로 341, (면목동,1층)",한식,돼지갈비,287.74,면목제3.8동,02  491 4488
청진동해장국,"서울특별시 중랑구 동일로 751, (중화동)",한식,해장국,140,중화제2동,02  432 6089
장안칼국수,"서울특별시 중랑구 상봉중앙로 56, (상봉동)",분식,칼국수,59.4,상봉제1동,02 4388790
박가네,"서울특별시 중랑구 공릉로 6, (묵동)",한식,찌개,60.17,묵제1동,02  9777777
주식회사 100년설렁탕,"서울특별시 중랑구 중랑역로 249, 1층 (묵동)",한식,설렁탕,98,묵제2동,
성공시대팔팔추어탕,"서울특별시 중랑구 상봉로 38, (면목동)",한식,추어탕,88.68,면목제3.8동,02  439 4366
지리산흑돼지,"서울특별시 중랑구 중랑역로 263, (묵동)",식육(숯불구이),흑돼지 오겹살,66,묵제1동,02  9715101
박가네 명동빈대떡,"서울특별시 중랑구 겸재로 168, (면목동)",정종/대포집/소주방,빈대떡,71.4,면목본동,02  436 9425
광릉불고기,"서울특별시 중랑구 망우로 425, (망우동)",식육(숯불구이),불고기,101.52,망우본동,02  435 6631
채선당묵동점,"서울특별시 중랑구 동일로 942, 1층 105,106,107호 (묵동, 위더스빌)",뷔페식,샤브샤브,177.78,묵제1동,02  948 7220
부자돼소,"서울특별시 중랑구 봉우재로 126, (면목동)",뷔페식,뷔페,149.4,면목본동,02 4388868
홍어천국,"서울특별시 중랑구 면목로 421, 2층 (면목동)",한식,홍어,107.5,면목본동,02436 4757
대연참숯불돼지갈비 함흥냉면,"서울특별시 중랑구 면목로 489, 2층 (상봉동)",식육(숯불구이),불고기정식,132.68,상봉제2동,02  447 2666
권참치,"서울특별시 중랑구 사가정로 377, 보린약국 1층 (면목동)",일식,참치,95.82,면목제3.8동,02 4351186
독도게찜,"서울특별시 중랑구 망우로 458, D동 1층 (망우동)",횟집,게찜,253,망우본동,02 4338892
바다목장,"서울특별시 중랑구 봉우재로 49, 1층 (면목동)",일식,바닷가재,133.9,면목제2동,02 4915419
동해세수대야동태탕 상봉점,"서울특별시 중랑구 망우로60길 31, (망우동)",한식,동태탕,188.1,망우본동,02 4938820
호반닭갈비막국수,"서울특별시 중랑구 봉화산로 20, 1층 (중화동)",식육(숯불구이),닭갈비,72.39,중화제2동,02  439 1656
맹돌이생선구이쌈밥,"서울특별시 중랑구 용마산로115길 59, 2층 (망우동)",한식,생선구이,88.8,망우본동,02 4918221
한촌설렁탕,"서울특별시 중랑구 상봉로 39, A동 1층 (면목동, 엠에스빌딩)",한식,설렁탕,165,면목본동,02  435 7933
대한족발,"서울특별시 중랑구 사가정로51길 31, (면목동, 1층)",한식,족발,105.04,면목제3.8동,02  22092356
갈비공장신내점,"서울특별시 중랑구 신내로14길 22, (신내동)",식육(숯불구이),갈비.삼겹살,131.41,신내1동,02  436 3392
스시남,"서울특별시 중랑구 중랑역로 261, 1층 (묵동)",일식,"회,초밥",69.98,묵제1동,02  975 1093
서해쭈꾸미,"서울특별시 중랑구 겸재로 191, (면목동)",한식,주꾸미,62.64,면목본동,02  22097892
이학갈비,"서울특별시 중랑구 면목로 310, 2층 (면목동)",한식,갈비탕,663.84,면목제7동,02  437 0170
대관령쌈밥,"서울특별시 중랑구 용마산로115길 15, 1,2층 (망우동)",한식,쌈밥,252.4,망우본동,02 4379192
두채사랑 전주콩나물 국밥,"서울특별시 중랑구 면목로 371, 1층 (면목동)",한식,콩나물국밥,117.82,면목본동,02  433 9660
백선화로구이,"서울특별시 중랑구 공릉로 32, (묵동,공감대아파트상가 B04호)",식육(숯불구이),"삼겹살, 부대찌개",98.71,묵제1동,02  977 3533
지호한방삼계탕,"서울특별시 중랑구 용마산로 560, (망우동)",한식,삼계탕,144.4,망우본동,02  433 0054
남한강물고기,"서울특별시 중랑구 양원역로8길 26, (망우동)",한식,매운탕,193.7,망우본동,02 4346644
곽만근갈비탕상봉점,"서울특별시 중랑구 봉우재로 117, (상봉동)",한식,갈비찜 갈비탕,105.03,상봉제2동,02 4941700
박가뼈다귀,"서울특별시 중랑구 망우로 193, (중화동)",한식,뼈다귀전골 찜,549.12,중화제2동,02  496 1600
이어도참치,"서울특별시 중랑구 동일로 635, (면목동)",일식,참치회,147.6,면목제2동,02 4933733
묵동감자바우영양족발,"서울특별시 중랑구 동일로 946, 109,9-1,13호 (묵동, 묵동신도주상복합아파트)",식육(숯불구이),"막국수,족발",109.58,묵제1동,02  972 9566
갈비공장신내점,"서울특별시 중랑구 신내로14길 22, (신내동)",식육(숯불구이),"냉면,갈비",131.41,신내1동,02  436 3392
소우가,"서울특별시 중랑구 면목로 285, (면목동)",한식,소갈비살 안창살,226.92,면목제7동,02 4343066
삼대(三代)신(辛)냉면,"서울특별시 중랑구 겸재로 193, (면목동)",냉면집,냉면,66.7,면목본동,02  435 9204
다함닭갈비 사가정직영점,"서울특별시 중랑구 사가정로51길 9, (면목동)",한식,닭갈비,91.47,면목제3.8동,02 4326683
망우찜쌈밥 본점,"서울특별시 중랑구 용마공원로2길 8, (망우동)",한식,찜쌈밥,124.56,망우제3동,02 4370175
옛터식당,"서울특별시 중랑구 중랑천로10길 63-3, (상봉동)",한식,닭한마리칼국수,70.15,상봉제2동,02 4393977
푸드카페,"서울특별시 중랑구 용마산로 494, (망우동)",분식,김밥,60,망우제3동,02 4947788
할매복집,"서울특별시 중랑구 공릉로 82, (묵동)",복어취급,복요리,157.95,묵제1동,02  979 7606
사랑방,"서울특별시 중랑구 겸재로 264, (면목동)",한식,돼지갈비,94.9,면목제3.8동,02 4953937
옛골참숯불갈비,"서울특별시 중랑구 상봉중앙로6가길 34, (상봉동)",식육(숯불구이),돼지왕갈비,90.7,상봉제1동,02  491 5545
찜집 주식회사,"서울특별시 중랑구 면목로 287, (면목동)",한식,해물찜,73.56,면목제7동,02  496 0943
맹돌이생선구이쌈밥,"서울특별시 중랑구 용마산로115길 59, 2층 (망우동)",한식,쌈밥,88.8,망우본동,02 4918221
옛가 칼국수,"서울특별시 중랑구 중랑천로10길 39, (상봉동)",한식,칼국수,108.09,상봉제2동,02 4921555
세상만사,"서울특별시 중랑구 겸재로 196, (면목동)",한식,감자탕,155.1,면목본동,02 4354955
춘향골남원추어탕,"서울특별시 중랑구 중랑역로 269, (묵동)",한식,추어탕,123.69,묵제1동,02  973 9526
농부보쌈,"서울특별시 중랑구 용마산로 389, (면목동)",한식,보쌈정식,214.68,면목제3.8동,02 4968860
개성숯불갈비,"서울특별시 중랑구 겸재로 261, (망우동)",식육(숯불구이),돼지갈비,180.63,망우제3동,02 4937833
신선한우촌,"서울특별시 중랑구 용마산로 707, (신내동)",식육(숯불구이),한우고기,148.5,신내1동,02  492 3335
유성 돌솥밥 찌개마을,"서울특별시 중랑구 신내로 61, (신내동)",한식,우거지탕,196.51,신내2동,
할매보쌈,"서울특별시 중랑구 면목로 352, (면목동)",한식,보쌈 쟁반국수,105.68,면목제3.8동,02  435 4632
