업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
석양집,"서울특별시 마포구 토정로37길 9, E동 8, 9호 (용강동, 우성연립)",한식,돼지갈비,165.65,용강동,02 7166847
석양집,"서울특별시 마포구 토정로37길 9, E동 8, 9호 (용강동, 우성연립)",한식,돼지갈비,165.65,용강동,02 7166847
(주)제이제이퀴진 현대옥 상암DMC점,"서울특별시 마포구 상암산로 76, (상암동, YTN뉴스퀘어지1층일부)",한식,콩나물국밥,212.56,상암동,
로얄호프 치킨,"서울특별시 마포구 동교로 213, 1층 (동교동)",일식,회,89.67,서교동,
천장어,"서울특별시 마포구 백범로 122, 1층 (염리동)",한식,장어구이,182.68,염리동,
서리원,"서울특별시 마포구 마포대로 173, (공덕동, 현대하이엘빌딩B123,124,125,126호)",한식,한정식,294.18,공덕동,263531447
올바른김밥,"서울특별시 마포구 동교로46길 42, 1층일부 (연남동)",한식,김밥,39.62,연남동,
뽀글보글,"서울특별시 마포구 토정로 193, 롯데슈퍼G마포점 1층 코너호 (구수동)",한식,떡볶이,79.3,신수동,
모퉁이고기집,"서울특별시 마포구 마포대로4길 30-6, (도화동)",한식,"돼지구이, 생삼겹살",49.85,도화동,02 7021819
양귀비짬뽕,"서울특별시 마포구 월드컵로 190, (성산동,이안상암2 상가1층 112호)",중국식,짬뽕,55.86,성산제1동,02  31529494
참나무본가공덕점,"서울특별시 마포구 마포대로6길 10, 2층 (공덕동)",한식,"돼지갈비, 삼겹살",756.66,공덕동,
주식회사 수레갈비,"서울특별시 마포구 매봉산로2길 19-6, 1층 (상암동)",기타,돼지갈비,131.32,상암동,
대도 함흥냉면,"서울특별시 마포구 토정로37길 21-9, 1층 101호 (용강동, 솔하우스)",한식,"냉면, 갈비탕",66.97,용강동,232739305
옛날집,"서울특별시 마포구 양화로18안길 26, (동교동)",한식,"갈비구이, 삼겹살",48.24,서교동,231419608
73명품도야지,"서울특별시 마포구 와우산로3길 16, (상수동, 석진스토리 105호)",한식,돼지구이,70,서강동,
마포낙지한마리수제비,"서울특별시 마포구 독막로 308, (염리동)",한식,"수제비, 낙지요리",87.26,용강동,02  711 7766
어부네,"서울특별시 마포구 토정로31길 23, 121동 104호(래미안 마포 리버웰단지내상가 지하1층) (용강동)",,"회, 매운탕",40,용강동,
백년토종삼계탕 별관,"서울특별시 마포구 양화로16길 10, (서교동)",한식,삼계탕,94.44,서교동,
밀리네 해물탕 본점(애오개),"서울특별시 마포구 마포대로 208, 108호 (아현동, 효성인텔리안)",한식,해물탕,118.59,공덕동,
(주)거구상사(거구장),"서울특별시 마포구 백범로 23, (신수동,외 8필지)",한식,갈비.불고기,3310.87,대흥동,02 7153611
기웅이서울찜닭&골뱅이,"서울특별시 마포구 월드컵북로48길 13, 1층 (상암동)",일식,초밥,52.46,상암동,
기웅이서울찜닭&골뱅이,"서울특별시 마포구 월드컵북로48길 13, 1층 (상암동)",일식,찜닭,52.46,상암동,
봉피양 마포,"서울특별시 마포구 토정로 308, (용강동)",한식,한우,362.38,용강동,02  715 2295
쌍마막회,"서울특별시 마포구 토정로 257, (용강동)",한식,해장국,92.34,용강동,02 7141233
백미향,"서울특별시 마포구 성지길 27, (합정동,1층)",중국식,,149.48,합정동,02   3128253
합정전,"서울특별시 마포구 월드컵로3길 31-32, (합정동, 지1층)",한식,모듬전,80.5,합정동,02 3252539
조박사복해장국,"서울특별시 마포구 동교로 114, 1층 102호 (서교동)",한식,복해장국,94.38,서교동,
대장금부페,"서울특별시 마포구 백범로1길 74, 1층 (노고산동)",한식,한식뷔페,45.62,서교동,
김미정남원추어탕삼계탕,"서울특별시 마포구 독막로 288, (대흥동)",한식,추어탕,219.32,대흥동,27119200
오도리,"서울특별시 마포구 마포대로16길 4-1, (공덕동, 서울빌딩 지하1층)",일식,생선회,88.11,공덕동,02  717 9934
운주당,"서울특별시 마포구 큰우물로 41, 1층 (대흥동)",한식,만둣국,51.87,대흥동,
송가네감자탕,"서울특별시 마포구 동교로 245, 지1, 1층,2층 (연남동)",한식,감자탕,318.42,연남동,
마포양지설렁탕,"서울특별시 마포구 새창로 6, 1,2층 (도화동)",한식,설렁탕,319.7,도화동,
(주)전설그룹,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 2층 R202, R203호 (상암동)",한식,갈비,122.31,상암동,
함초손두부,"서울특별시 마포구 월드컵로 154-1, 1층 (성산동)",일식,두부전골,78.53,성산제1동,
미락,"서울특별시 마포구 백범로 205, 103동 B234호 (신공덕동, 펜트라우스)",한식,홍어삼합,67.76,공덕동,
보리,"서울특별시 마포구 방울내로7길 5, 102호 (망원동)",기타,보리굴비,92.5,망원제1동,
꿀돼지집,"서울특별시 마포구 동교로 236, 2층 (연남동)",한식,삼겹살,75.01,연남동,
금이네부대찌개,"서울특별시 마포구 마포대로12길 53-1, (공덕동)",한식,부대찌개,65.55,공덕동,
마포나루(1호점),"서울특별시 마포구 마포대로 68, (도화동,마포아크로타워 지하01,02호)",한식,돼지갈비,308.49,공덕동,02  711 5959
제주삼다돈,"서울특별시 마포구 양화로11길 66, 1,2층 (서교동)",한식,설렁탕,188.57,서교동,
램랜드,"서울특별시 마포구 토정로 255, 1층 (용강동)",한식,양고기,184.32,용강동,02 7040223
램랜드,"서울특별시 마포구 토정로 255, 1층 (용강동)",한식,양고기,184.32,용강동,02 7040223
하나유키,"서울특별시 마포구 마포대로 25, (마포동)",일식,정통일식,388.28,용강동,716 0011
역전회관일구이구,"서울특별시 마포구 토정로37길 47, 지하1~지상4층 (염리동)",한식,바싹불고기,900.69,용강동,02 7030019
구자춘참치,"서울특별시 마포구 토정로32길 17, 7층동 (토정동)",경양식,,95.55,용강동,232731966
밀리네해물탕,"서울특별시 마포구 대흥로30길 18-5, (염리동, 지1층)",분식,,53.5,염리동,02 7128359
개미집,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 2층 204호 (상암동)",기타,,155.88,상암동,
샤브옳다 마포구청역점,"서울특별시 마포구 월드컵로 164, 2층 (성산동)",한식,,98,성산제1동,
남영동양문 상암점,"서울특별시 마포구 매봉산로2안길 10, 1층 (상암동)",한식,,89.95,상암동,
만복기사식당,"서울특별시 마포구 희우정로 121, (망원동,1층)",한식,,83,망원제1동,231418314
밀리네해물탕,"서울특별시 마포구 대흥로30길 18-5, (염리동, 1층)",분식,,53.5,염리동,
옛날김치찌개전문점,"서울특별시 마포구 마포대로8길 31, (공덕동,1층)",한식,,54.72,공덕동,
작은 섬소년,"서울특별시 마포구 토정로37가길 13, (용강동)",한식,,21,용강동,02 7135930
만복국수집,"서울특별시 마포구 월드컵북로 381, (상암동, 214호)",한식,,38.76,상암동,
미방마포점,"서울특별시 마포구 토정로32길 17, 1층 101호 (토정동)","외국음식전문점(인도,태국등)",,56.96,용강동,
장가방,"서울특별시 마포구 토정로 296, 2층 (용강동)",중국식,,208.78,용강동,
어로가,"서울특별시 마포구 토정로 290, (용강동)",한식,,28.8,용강동,02 7038766
어림촌,"서울특별시 마포구 백범로20길 12, 지1층 (대흥동)",한식,,192.71,대흥동,
양촌리,"서울특별시 마포구 토정로 304, (용강동)",일식,회,403.16,용강동,02 7010455
양촌리,"서울특별시 마포구 토정로 304, (용강동)",일식,회,403.16,용강동,02 7010455
청춘구락부,"서울특별시 마포구 토정로 308, 1, 2층 (용강동)",한식,소등심,364.82,용강동,02  702 1399
홍대 율촌,"서울특별시 마포구 와우산로 100, (서교동,지하1층)",호프/통닭,,215,서교동,
대동관,"서울특별시 마포구 모래내로7길 62, 1층 103호 (성산동)",한식,만두,92.4,성산제1동,
백년육일집,"서울특별시 마포구 양화로 99, 1층 101호 (서교동)",한식,곰탕,156,서교동,
노독일처,"서울특별시 마포구 토정로37길 17, 1,2층 (용강동)",중국식,북경오리,209.48,용강동,
하동우렁추어탕,"서울특별시 마포구 월드컵로 39, (합정동, 1층)",한식,추어탕,164,합정동,
밀밭정원,"서울특별시 마포구 마포대로16길 13, 1,2층 (아현동)",기타,한정식,186.52,공덕동,02 364 1041
