업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
제일콩집,"서울특별시 노원구 동일로174길 37-8, 제일빌딩 1,2층 (공릉동)",한식,두부찌개,214.46,공릉1동,02 9727016
항도,"서울특별시 노원구 노해로75길 14-22, (상계동)",일식,대구탕,126.42,상계6.7동,02 9388182
고기싸롱상계역점,"서울특별시 노원구 덕릉로 692, (중계동,2층)",한식,샤브샤브,289.98,중계4동,02  951 4149
명문식당,"서울특별시 노원구 동일로217가길 27, (상계동)",한식,부대찌개,88.5,상계6.7동,02 936 2651
조박사아구찜,"서울특별시 노원구 노해로 490, 길빌딩 지하층 3호 (상계동)",한식,아구찜,77.4,상계6.7동,
포앤시드니중계점,"서울특별시 노원구 동일로203가길 29, (중계동, 브라운스톤 중계상가 110호, 111호)","외국음식전문점(인도,태국등)",쌀국수,79.04,중계2.3동,02  979 1555
착한낙지 수락산역점,"서울특별시 노원구 동일로242가길 35, 1층 (상계동)",한식,삼계탕,200.34,상계1동,02 9358819
부일관,"서울특별시 노원구 노원로26길 119, 부일관 1층 (상계동)",한식,돼지갈비,328.4,상계2동,02 9526634
태능숯불갈비,"서울특별시 노원구 한글비석로1길 37, 샛말빌딩 1층 (하계동)",식육(숯불구이),돼지갈비,135.49,하계1동,02  974 5074
중계동두부명가,"서울특별시 노원구 중계로12가길 29, 수암빌딩 2(지면접함)층 (중계동)",한식,된장찌개,220.86,중계본동,9358003
하계생오리,"서울특별시 노원구 한글비석로 91, 2층 (하계동)",한식,생오리구이,176,하계1동,
우왕불,"서울특별시 노원구 노원로 447, 1층 (상계동)",한식,모듬구이,304.88,상계2동,02  34923388
미락정,"서울특별시 노원구 노해로83길 10-11, (상계동,2층)",호프/통닭,삼겹살,276.78,상계2동,02 9517755
황금코다리 상계역점,"서울특별시 노원구 덕릉로83길 6, 1층 (중계동)",한식,코다리조림,198.72,중계4동,
스시조,"서울특별시 노원구 노원로 244, 보스턴 산부인과 2층 (하계동)",일식,초밥,330.48,하계1동,
향림,"서울특별시 노원구 한글비석로 127, 마린스포츠센타 2층 (하계동)",중국식,짬뽕,765.42,하계1동,02  976 8800
춘천왕닭갈비,"서울특별시 노원구 동일로203가길 29, 2층 212A,213,214호 (중계동, 브라운스톤중계)",한식,닭갈비,94.17,중계2.3동,02  975 4481
경회루,"서울특별시 노원구 동일로 1005, 지하1층 (공릉동)",한식,정식,486.13,공릉1동,9722774
우정낙지,"서울특별시 노원구 동일로217가길 23, (상계동,2층)",한식,낙지볶음,145.5,상계6.7동,233923344
BHC 마들점,"서울특별시 노원구 수락산로 212, 지상1층 우측호 (상계동)",한식,육개장,67,상계1동,02 9339288
스시통,"서울특별시 노원구 노해로 517-3, 1,2층 (상계동)",한식,갈비살,162.6,상계2동,02 9300080
고바우소곱창,"서울특별시 노원구 동일로217가길 39, (상계동)",한식,소곱창,65.1,상계6.7동,02 9385142
강강술래상계점,"서울특별시 노원구 동일로 1628, 상계동강강술래 2층,3층,4층 (상계동)",한식,돼지갈비,2792.2,상계1동,9359233
참누렁소,"서울특별시 노원구 공릉로63길 13, 1층 (하계동)",한식,갈비탕,240.1,하계1동,02 9796400
남가네설악추어탕 한모둠순대국,"서울특별시 노원구 수락산로 212, 1층 (상계동)",한식,추어탕,212.4,상계1동,02 9300885
제임스 키친,"서울특별시 노원구 노해로81길 12-26, (상계동,삼원빌딩2층)",경양식,스파게티,122.67,상계2동,02 9524748
청학골,"서울특별시 노원구 동일로192길 6, 1층 (공릉동)",한식,돼지갈비,240.92,공릉1동,02 9780055
목포세꼬시 회 스시다네,"서울특별시 노원구 한글비석로1길 33, 1층 (하계동)",일식,회초밥,192.91,하계1동,02  973 0003
신우정,"서울특별시 노원구 공릉로46길 9, (공릉동,1층)",한식,버섯전골,75,공릉2동,02  974 3346
