업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
한성돈까스,"서울특별시 서초구 강남대로97길 10, (잠원동)",경양식,돈까스,112.13,잠원동,02  540 7054
우성횟집,"서울특별시 서초구 언남11길 34-14, (양재동)",한식,회,86.4,양재제2동,02  579 4808
군산아구찜,"서울특별시 서초구 강남대로8길 39-72, (양재동)",한식,아구찜,75.86,양재제2동,02 5739355
금강바베큐,"서울특별시 서초구 사평대로 349, 201,202호 (반포동)",분식,치킨,221.82,반포제1동,02 5110976
장군한방삼계탕,"서울특별시 서초구 매헌로 34, 2층 (양재동)",한식,삼계탕,129.71,양재제2동,7041079900
토끼네마굿간,"서울특별시 서초구 방배로32길 30-9, 1층 (방배동, 르 팰리스)",한식,이탈리아 가정식,55.22,방배제2동,
별난횟집,"서울특별시 서초구 강남대로 224, 지하1층 B-B-01호~B-B-09호 (양재동, 양재한신휴플러스)",한식,"회, 덮밥, 탕",143.9,양재제1동,
화덕 닭갈비,"서울특별시 서초구 강남대로10길 41, 1층 (양재동)",한식,"닭갈비, 찌개정식",100.52,양재제2동,02  575 5955
교촌치킨 방배1호점,"서울특별시 서초구 방배중앙로 176, 1층 (방배동)",호프/통닭,치킨,148.5,방배제2동,
칠프로 칠백식당(방배직영점),"서울특별시 서초구 방배로27길 12, 101호 (방배동)",한식,한우모둠,60,방배제4동,02  534 0705
소금창고 냉삼겹 방배점,"서울특별시 서초구 효령로31길 7, 1층 (방배동)",한식,삼겹살,130.93,방배제4동,02 5859388
이여곰탕,"서울특별시 서초구 서초대로46길 19-15, 1층 (서초동)",한식,곰탕,92.4,서초제3동,02  598 9337
등촌샤브칼국수,"서울특별시 서초구 반포대로28길 28, 초석빌딩 1층 101호 (서초동)",한식,샤브칼국수,198,서초제3동,02  508 4519
채향,"서울특별시 서초구 효령로53길 23, 1층 (서초동)",한식,"쌈밥, 생선구이",139,서초제3동,
낙천정,"서울특별시 서초구 효령로 220, 2층,3층 (서초동)",한식,한정식,264.16,서초제3동,02 34738232
차돌풍(방배점),"서울특별시 서초구 효령로31길 19, 1층 (방배동)",식육(숯불구이),차돌박이,102.14,방배제1동,
남도찌개,"서울특별시 서초구 반포대로28길 71-17, 1층 (서초동)",한식,"새우탕, 생대구찌개",100.75,서초제3동,02 5849940
금빛,"서울특별시 서초구 방배중앙로29길 3, 2층 (방배동)",경양식,장어구이,136,방배본동,02 5913391
고화갈비살 양재점,"서울특별시 서초구 남부순환로350길 38, 1층 (양재동)",한식,삼겹살,141.9,양재제1동,
한우등심한판,"서울특별시 서초구 서초대로77길 45, 306호,307호 (서초동)",한식,등심,99.5,서초제4동,02 5992168
왕금성(이수역점),"서울특별시 서초구 서초대로 3-4, 2층 203호 (방배동, 방배디오슈페리움1)",중국식,중국코스요리,223.23,방배본동,
서초곰탕24시,"서울특별시 서초구 반포대로 12, 1층 (서초동)",한식,곰탕,187.21,서초제2동,02  34742988
장모사랑,"서울특별시 서초구 남부순환로350길 36, 프렌닥터 지하1층 101호 (양재동)",한식,한정식,122.04,양재제1동,02  34738261
송학횟집,"서울특별시 서초구 법원로3길 12, 승소빌딩 지하1층 (서초동)",횟집,회정식,433.52,서초제3동,02  595 8822
서초바다 청조,"서울특별시 서초구 서초대로 338, 102호 (서초동)",한식,"한정식, 회",168.29,서초제1동,
망향비빔국수 신사점,"서울특별시 서초구 강남대로95길 17, 1층 (잠원동)",한식,비빔국수,125.15,잠원동,02  511 6355
서래족발,"서울특별시 서초구 방배로 189, 1층 (방배동)",한식,족발,145,서초제3동,
부안애서,"서울특별시 서초구 청계산로 223, 1층 (신원동)",한식,"김치찌개, 닭도리탕",148.17,내곡동,
오장동함흥냉면 파미에스테이션점,"서울특별시 서초구 사평대로 205, CENTRALCITY 반포천 복개주차장 1층 FP113호 (반포동)",냉면집,냉면,89.9,반포본동,
비노바인,"서울특별시 서초구 반포대로23길 6, 지하1층 (서초동)",경양식,,250,서초제2동,
건너편갈비살,"서울특별시 서초구 신반포로42길 2, 2층 201,202,203,204,205호 (반포동, NOVA월드)",한식,구이류,97.74,반포제1동,
속리산 염소요리 전문점,"서울특별시 서초구 법원로3길 24, (서초동,두언빌딩 1층)",한식,염소요리,172.61,서초제3동,02  595 7760
됐소강남,"서울특별시 서초구 서초대로78길 36, (서초동, B101호 일부)",한식,구이류,277.93,서초제2동,
옛날 손칼국수 전문점,"서울특별시 서초구 서초대로53길 20-3, (서초동,1층)",한식,칼국수,148.5,서초제1동,02  532 6886
개성손만두요리전문점 방배점,"서울특별시 서초구 동광로19길 5, 1층 (방배동)",한식,만두,112.2,방배본동,02  596 2763
청솔감자탕,"서울특별시 서초구 반포대로30길 53, 조광빌딩 지하1층 (서초동)",한식,감자탕,189.79,서초제3동,
서관면옥 교대본점,"서울특별시 서초구 서초대로56길 11, 1층 (서초동)",한식,냉면,152.24,서초제1동,
선화의 고기,"서울특별시 서초구 서초대로24길 9, 1층 (방배동)",한식,소고기,111.54,방배제1동,234732253
사쿠,"서울특별시 서초구 나루터로15길 11, 대영빌딩 1층 (잠원동)",한식,회,79.38,잠원동,
아기다람쥐,"서울특별시 서초구 서초대로 3-4, 1층 109-1호 (방배동, 방배디오슈페리움Ⅰ)",한식,생선구이,113.03,방배제4동,02  543 8989
원할머니 보쌈 족발 박가 부대찌개 반포점,"서울특별시 서초구 서초중앙로 238, 삼호가든쇼핑센타 지하중층 (반포동)",한식,부대찌개,104,반포제1동,
광평 평양냉면갈비 강남점,"서울특별시 서초구 서운로 135, 1층,2층 (서초동)",한식,"냉면, 갈비",529.1,서초제4동,02  581 2235
강남역 모범갈빗살,"서울특별시 서초구 서초대로73길 40, 104호 (서초동, 강남오피스텔)",한식,한우구이,158.62,서초제4동,02  533 2588
명인등심,"서울특별시 서초구 서초대로 87, 1층 (방배동)",한식,등심,96.66,방배제4동,02  592 1951
스시타노,"서울특별시 서초구 동광로 93, 테라스빌딩 3층 (방배동)",한식,스시,231,방배본동,02  593 1600
시골집,"서울특별시 서초구 반포대로10길 7, 1층 (서초동)",한식,쌈밥,147.72,서초제3동,02  597 0400
바른식 시골보쌈 앤 옹심이,"서울특별시 서초구 서초대로52길 17, 1층,2층 (서초동)",한식,보쌈,332.85,서초제2동,02 5836431
영동회관,"서울특별시 서초구 강남대로30길 28, 103호 (양재동)",한식,삼겹살,126.93,양재제1동,02  60840250
진대감 강남역 삼성타운점,"서울특별시 서초구 서초대로78길 50, (서초동,우영빌딩 2층)",한식,차돌삼합,334.07,서초제2동,02  587 0073
인덕원비빔국수,"서울특별시 서초구 남부순환로 2656, 1,2층 (양재동)",한식,비빔국수,285.51,양재제1동,
서초 해물찜,"서울특별시 서초구 서초중앙로24길 27, 지하1층 지106,107호 (서초동, 지파이브센트럴프라자)",한식,해물찜,146.85,서초제4동,
이자카야 나무  (서초),"서울특별시 서초구 서초대로75길 23, 지하1층~지상4층 (서초동)",일식,한우구이,788.08,서초제4동,
담소사골순대 이수역점,"서울특별시 서초구 서초대로 12, 101동 101호,102호,103호 (방배동, 세양아르비채)",한식,순대국,107.28,방배제2동,
만발,"서울특별시 서초구 서초대로29길 32, 1층 (방배동)",한식,소고기,142.23,방배제4동,02  535 7456
영양센타 서초역점,"서울특별시 서초구 명달로 130, 1층 (서초동)",호프/통닭,삼계탕,208.8,서초제3동,02  34870101
녹담샤브 교대점,"서울특별시 서초구 서초대로54길 32, 지하1층 (서초동, 추호주택 )",한식,샤브샤브,124.2,서초제1동,266715342
우주,"서울특별시 서초구 동광로 106, 2층 (방배동)",한식,한우,233,방배제2동,
원조마산콧털네아구찜,"서울특별시 서초구 신반포로47길 118, A동 1층 (잠원동)",한식,아구찜,165,잠원동,02 5489139
(주)댓짱돈까스,"서울특별시 서초구 방배로6길 13, 파크에비뉴빌딩 1층 (방배동)",한식,돈까스,216.09,방배제3동,
사랑채,"서울특별시 서초구 언남길 15-6, (양재동,1층)",한식,곤드레밥,243.69,양재제1동,02  572 0352
비스타(VISTA),"서울특별시 서초구 올림픽대로 2085-14, 새빛섬 제1섬 (반포동)",경양식,파스타,761.06,반포제2동,50714162405
시래정(양재점),"서울특별시 서초구 강남대로39길 15-10, 지하1층 103-1호 (서초동, 한라비발디스튜디오193)",한식,시래기국,130.81,서초제2동,
더하누,"서울특별시 서초구 서초대로74길 49, 101,102,109,111,112,113,114호 (서초동, 아루누보씨티2)",한식,양념갈비,321.97,서초제2동,02  584 9392
홍.낙.제,"서울특별시 서초구 서초중앙로26길 17, (서초동,1층)",한식,낙지갈비탕,199.55,서초제4동,234823661
미나토,"서울특별시 서초구 방배로23길 19, 1층 (방배동)",한식,사시미,97.68,방배제1동,
(주)이춘복스시강남,"서울특별시 서초구 강남대로61길 13, 1층 2층 (서초동)",일식,초밥,448.5,서초제4동,
청정해참치,"서울특별시 서초구 강남대로 221, (양재동,환승주차장 201호)",일식,참치,39.66,양재제1동,02  577 4419
방배순대국,"서울특별시 서초구 효령로31길 46, 1층 (방배동)",한식,순대국,38.88,방배제1동,02 5989597
동신참치양재직영점,"서울특별시 서초구 강남대로 213, 지하1층 (양재동)",일식,생선회,114.54,양재제1동,
여의도생고기,"서울특별시 서초구 신흥말길 27-9, 1층 (내곡동)",분식,"소, 돼지구이",179.08,내곡동,02 4596707
신박사 콩사랑,"서울특별시 서초구 반포대로23길 30, 1층 (서초동)",한식,두부,115.5,서초제3동,02  588 8862
디토,"서울특별시 서초구 명달로 94, (주)삼성출판사 사옥 1층 (서초동)",경양식,경양식,361,서초제3동,234717022
우면산,"서울특별시 서초구 효령로2길 5, 1층 (방배동)",한식,불고기백반,42.34,방배제3동,02 5235350
속초바다야,"서울특별시 서초구 방배천로2길 12, 1층 (방배동)",일식,모둠회,282.53,방배제2동,
삼소락,"서울특별시 서초구 방배천로 17, 1층 (방배동, 주건축물제1동)",한식,삼겹살,165.05,방배제2동,
잠실닭두마리집(잠닭),"서울특별시 서초구 사평대로26길 47, 2층 (반포동)",한식,"닭볶음탕, 닭칼국수, 파전, 한우사골떡만두",165.62,반포제4동,02  596 3450
서래횟집,"서울특별시 서초구 서래로5길 17, 1층 (반포동)",한식,"회, 탕, 생선구이",63.2,반포제4동,02  532 1573
수라빔,"서울특별시 서초구 신반포로 176, 1층중층 M8호 (반포동, 센트럴시티)",한식,비빔밥,118.68,반포제4동,
주미요,"서울특별시 서초구 사평대로18길 5, 위너스빌 1층 (반포동)",중국식,자장면,131.18,반포본동,02  599 1988
본가왕뼈감자탕 서초점,"서울특별시 서초구 효령로 428, (서초동)",한식,감자탕,138.65,서초제2동,02 5980976
자인뭉티기,"서울특별시 서초구 강남대로37길 24-7, 1층 (서초동)",한식,,148.5,서초제2동,02  597 2158
소호정,"서울특별시 서초구 논현로 27, (양재동,(1,2층))",분식,"국시, 국밥",216.29,양재제2동,02 5797282
김영희 강남동태찜 이수점,"서울특별시 서초구 서초대로 3-4, (방배동,방배디오슈페리움 1차 B117~119, B122~126호)",한식,동태탕,191.6,방배제4동,
(주)톰볼라,"서울특별시 서초구 서래로7길 16, 1층 101호 (반포동)",경양식,파스타,53.2,반포제4동,02  593 4660
댓짱돈까스,"서울특별시 서초구 방배중앙로 204, 1층 101호, 102호, 106호 (방배동, 리첸시아방배)",한식,돈가스,140.75,방배본동,02  534 7009
방배골숯불갈비,"서울특별시 서초구 방배중앙로29길 21, 101호 (방배동)",한식,갈비,84,방배본동,02  34821527
경복궁서초점(주)엔타스,"서울특별시 서초구 서초중앙로 195, 3,4층 (반포동)",한식,한우갈비,1100.1,반포제4동,02  34823030
디오디아(DIODIA),"서울특별시 서초구 강남대로 213, 5층 (양재동, 스포타임)",뷔페식,뷔페,1639.55,양재제1동,02  526 0337
솥밥 모랑 강남점,"서울특별시 서초구 강남대로 359, 212호 (서초동, 대우도씨에빛2)",한식,솥밥,47.95,서초제2동,02 5213980
해우담 서초본점,"서울특별시 서초구 강남대로 349, 지하1층 (서초동, 우남빌딩)",한식,해초요리,487.14,서초제2동,02  597 4997
부일갈비,"서울특별시 서초구 서초중앙로2길 42, 101호 (서초동)",한식,갈비,263.36,서초제1동,02  585 3112
정담남원추어탕,"서울특별시 서초구 방배로15길 14, 1층 (방배동)",한식,추어탕,89.49,방배제1동,02 5837588
피노,"서울특별시 서초구 신흥말길 84, 1층 (내곡동)",한식,연잎밥,152.75,내곡동,02 4450417
한우플러스,"서울특별시 서초구 서초대로46길 109, 2층 (서초동, 지산빌딩)",경양식,"한우, 등심구이",131.7,서초제3동,02 5323108
마초셰프,"서울특별시 서초구 서초대로25길 8, 1층 (방배동)",경양식,파스타,53.69,방배제4동,264654242
빛고을으뜸추어탕,"서울특별시 서초구 서초중앙로26길 13, 1층 (서초동)",한식,추어탕,251.19,서초제4동,02  537 0156
우대포 양재점,"서울특별시 서초구 강남대로47길 20, (서초동)",한식,구이류,75.9,서초제2동,
임금님밥상,"서울특별시 서초구 동광로11길 97, A동 1층 (방배동)",한식,백반,86.4,방배본동,02  535 5338
두껍삼 강남직영점,"서울특별시 서초구 서초대로78길 44, 1층 (서초동)",한식,삼겹살,435.4,서초제1동,02  585 3592
원당감자탕,"서울특별시 서초구 방배천로4길 9, 2층 3층 (방배동)",한식,감자탕,235.24,방배제2동,02 5225255
장수원,"서울특별시 서초구 방배중앙로 153, 지하1층,1층,2층 (방배동)",한식,불고기,764.69,방배본동,02 5322225
델리세,"서울특별시 서초구 동광로 106, (방배동)",,파스타,231.11,방배제4동,
신의주찹쌀순대&숯불갈비,"서울특별시 서초구 방배천로6길 3-12, (방배동,(1층))",한식,"순대국, 숯불갈비",61.71,방배제2동,02 5250041
울돌목 가는길,"서울특별시 서초구 서초대로40길 41, 지하1층 (서초동)",한식,한정식,638.95,서초제3동,02  521 6032
