업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
연희옥 연희본점,"서울특별시 서대문구 연희로 81-26, 1층 (연희동)",한식,순대국,99,연희동,
마우디(Maudie),"서울특별시 서대문구 연희로11길 18, 1층 (연희동)",경양식,파스타,50.25,연희동,
공룡부대찌개,"서울특별시 서대문구 연희로 81-15, (연희동)",한식,부대찌개,127.83,연희동,
보승회관 홍제역점,"서울특별시 서대문구 통일로 475, 1층 제1호 (홍제동)",한식,파스타,132,홍제제1동,
남가네 설악추어탕,"서울특별시 서대문구 모래내로 350-1, (홍은동)",한식,추어탕,39.6,홍은제2동,
벨프레시푸드(주) 소반,"서울특별시 서대문구 충정로 8, 종근당빌딩 지하1층 (충정로3가)",한식,스팸김치찌개,119,충현동,
한옥그레이스,"서울특별시 서대문구 통일로9안길 28-5, (충정로2가)",한식,생삽겹살,96.85,충현동,
서대문 화우,"서울특별시 서대문구 통일로9안길 32, (충정로2가)",호프/통닭,소고기,123.8,충현동,
권가네 의정부부대찌개,"서울특별시 서대문구 경기대로 57, (충정로2가)",경양식,부대찌개,44.8,충현동,
북성해장국,"서울특별시 서대문구 신촌로35길 7, (북아현동,(지상1층))",한식,곰탕,66.11,북아현동,
달동네곰상,"서울특별시 서대문구 통일로 442-11, 지층 (홍제동)",한식,연어,78.46,홍제제3동,
가문의우동,"서울특별시 서대문구 연세로12길 8, 1, 2층 (창천동)",한식,우동,102,신촌동,
조개일번지,"서울특별시 서대문구 통일로9안길 16, (냉천동)",한식,조개찜,52.89,천연동,
금옥당,"서울특별시 서대문구 연희로11라길 2, 1층 (연희동)",한식,전통차,92.93,연희동,
명지 장수오리,"서울특별시 서대문구 모래내로 275, CN빌딩 1층 (홍은동)",한식,생오리로스,98.53,홍은제1동,
소문난갈비,"서울특별시 서대문구 수색로2길 10, (남가좌동)",한식,주물럭,90.72,남가좌제1동,
칠백식당,"서울특별시 서대문구 통일로 149-1, 2층 (냉천동)",한식,한우,72.73,천연동,
짬뽕주의,"서울특별시 서대문구 충정로11길 12, 2층 (충정로2가)",중국식,짬뽕,116.69,충현동,
형제옥,"서울특별시 서대문구 충정로6안길 3, (미근동)",한식,설렁탕,31.08,충현동,
봉산식당,"서울특별시 서대문구 세검정로 69, 1층 (홍제동)",한식,삼겹살,29.52,홍제제3동,
한옥집,"서울특별시 서대문구 통일로9길 12, 1층 (냉천동)",한식,,108.9,천연동,
삼진,,분식,,84.03,신촌동,
