업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
초동리 막국수,"서울특별시 성북구 동소문로20길 16-9, 1층 (동소문동5가)",한식,막국수,40,삼선동,
온기종기,"서울특별시 성북구 성북로4길 52, 스포츠센타동 5105호 (돈암동, 한신한진아파트)",기타,"파스타, 함박스테이크",66.78,돈암제1동,
안식당,"서울특별시 성북구 보문로32길 31, (동선동2가)",한식,곤드레밥,85.72,동선동,02 9281080
성원식당,"서울특별시 성북구 아리랑로19길 15, (정릉동)",기타,백반,26.4,정릉제2동,
인생설렁탕,"서울특별시 성북구 고려대로24길 24, 지하1층 (안암동5가)",탕류(보신용),설렁탕,105.6,안암동,
삼삼뼈국 성북동점,"서울특별시 성북구 성북로 148-3, (성북동, 1층)",한식,감자탕,76.07,성북동,
돌쌈,"서울특별시 성북구 장월로26길 11, (장위동)",한식,쭈꾸미요리,49.5,장위제1동,02  909 4202
제나키친,"서울특별시 성북구 화랑로11길 23, 2층 (하월곡동)",분식,덮밥류 등,99.41,월곡제2동,
골목냉면<삼선교>,"서울특별시 성북구 동소문로6길 3, (동소문동2가)",한식,냉면,75.4,삼선동,02  747 6580
산장두부촌,"서울특별시 성북구 보국문로 205, (정릉동,외2필지)",한식,보쌈,210.6,정릉제1동,02 9191599
만복식당,"서울특별시 성북구 개운사길 34, 지1층 (안암동5가)",한식,삼겹살,108.6,안암동,
유자유 김치떡볶이,"서울특별시 성북구 고려대로24길 48, 2층 (안암동5가)",한식,김치떡볶이,201.11,안암동,02  928 7754
원진노기순청국장,"서울특별시 성북구 안암로9가길 94, 1층 (안암동5가)",한식,청국장,129.85,안암동,02  925 5733
정릉곤드레밥,"서울특별시 성북구 보국문로18가길 5-13, (정릉동)",한식,곤드레밥,110,정릉제4동,
부자고기 무한리필,"서울특별시 성북구 동소문로20길 28-4, (동소문동5가, 2층)",식육(숯불구이),삼겹살,95,삼선동,02  923 8628
할매숯불닭갈비,"서울특별시 성북구 동소문로20길 37-5, 1층 (동선동1가)",호프/통닭,닭갈비,54.1,동선동,02 9289993
제주고깃집,"서울특별시 성북구 보문로 144, (보문동1가, 외 1필지 보문뉴타운)",한식,오겹살,122.1,보문동,
중경당,"서울특별시 성북구 창경궁로43길 30, 1층 (성북동1가)",한식,한정식,72.42,성북동,
유정식당,"서울특별시 성북구 북악산로29길 21, (종암동)",한식,한우,374.27,종암동,02 9286256
도쿄커틀릿,"서울특별시 성북구 동소문로22길 57-1, (동선동2가)",한식,돈까스,48,동선동,02 9299292
태조감자국,"서울특별시 성북구 보문로34길 43, (동선동1가)",한식,감자탕,115,동선동,02  921 7667
이세(李世)돈가스전문점,"서울특별시 성북구 개운사길 32, 1층 (안암동5가)",한식,돈가스,89,안암동,
가나다라생고기,"서울특별시 성북구 성북로4길 52, 스포츠센타동 5103호 (돈암동, 한신한진아파트)",식육(숯불구이),고기,66.78,돈암제2동,
미운오리,"서울특별시 성북구 보문로 123, (보문동2가,(1층))",한식,오리고기,112.77,보문동,02  923 9999
매스플레이트,"서울특별시 성북구 개운사길 18, (안암동5가, 2층)",기타,"파스타, 스테이크",158.4,안암동,02  921 4940
모심,"서울특별시 성북구 개운사길 8, 3층 (안암동5가)",한식,갈비탕,379.99,안암동,02  953 0333
마장동 고기집,"서울특별시 성북구 보문로30길 39, 1층 (동선동2가)",한식,소한마리,25.38,동선동,02 9263273
보리보리시골밥상,"서울특별시 성북구 솔샘로1길 19, (정릉동)",한식,가정식 백반,162,정릉제1동,
성북동면옥집,"서울특별시 성북구 대사관로 40, 지상1,2,3층 (성북동)",한식,"갈비찜, 냉면",423.74,성북동,
해송복집,"서울특별시 성북구 동소문로20길 29-7, (동선동1가,태백빌딩)",횟집,복어탕,50.16,동선동,02 9263733
손큰할매순대국 국민대점,"서울특별시 성북구 정릉로 169, 1층 (정릉동)",한식,순대국,239.04,정릉제3동,
양슐랭 본점,"서울특별시 성북구 보문로 149, 1층 (삼선동5가)",한식,양갈비,103.5,삼선동,
가부,"서울특별시 성북구 보문로 182, 1층 (삼선동4가)",중국식,자장면,135.9,삼선동,
대왕참치,"서울특별시 성북구 종암로19길 6, 2층 (종암동)",일식,참치회 정식,122.1,종암동,02  921 3785
해미수산,"서울특별시 성북구 종암로21길 53, (종암동,1층)",한식,회정식,108,종암동,02  922 7471
조선화로구이,"서울특별시 성북구 북악산로 851, 상가동 204,205,206호 (정릉동, e-편한세상)",한식,돼지갈비,143.21,정릉제1동,
씽푸,"서울특별시 성북구 동소문로10길 6, (동소문동3가)",중국식,짜장면,66,삼선동,
미각아구동태탕,"서울특별시 성북구 보국문로 54-1, (정릉동,(지상1층))",기타,동태탕,125.3,정릉제1동,
채화정,"서울특별시 성북구 오패산로3길 9, (하월곡동)",한식,백숙,294.67,월곡제1동,02 9128333
한근더한근,"서울특별시 성북구 한천로 605, 101호 (장위동, 태산빌딩)",한식,돼지갈비,257.88,장위제3동,02 9188999
채움늘,"서울특별시 성북구 정릉로9길 36, (정릉동)",한식,쌀국수,115.5,정릉제3동,02  910 8182
초림정,"서울특별시 성북구 동소문로 181, (돈암동, 101호)",중국식,탕수육,247.5,돈암제1동,02  953 8808
맛깔참죽 정릉점(선진스포츠),"서울특별시 성북구 정릉로26길 8, 제상가동 1층 103호 (정릉동, 중앙하이츠빌2단지)",한식,죽,63.04,정릉제2동,
큰대문집,"서울특별시 성북구 종암로14길 6-21, (종암동)",한식,갈비탕,79.35,종암동,02 9130901
가재야,"서울특별시 성북구 보문로 163, (삼선동5가)",기타,바닷가재,132,삼선동,02 9535545
더씨(The C),"서울특별시 성북구 개운사길 8, (안암동5가, 외5필지 2층)",중국식,중식세트메뉴,398.07,안암동,02  929 1259
천수촌,"서울특별시 성북구 장위로 145, 2층 (장위동)",한식,갈비찜,261.97,장위제1동,02  9143377
연화화덕생선구이,"서울특별시 성북구 동소문로24길 31, 1층 (동선동1가)",한식,"고등어, 솥밥",135.11,동선동,02 9294113
조마루뼈다귀전문점,"서울특별시 성북구 화랑로 262, (석관동)",한식,감자탕,95.3,석관동,209696953
국화정원,,한식,한정식,154.86,성북동,02 7410020
주식회사 르한스,"서울특별시 성북구 정릉로10길 127, (정릉동)",경양식,"파스타,피자,스테이크",211.2,정릉제3동,02941 1141
춘향골남원추어탕 성북구청점,"서울특별시 성북구 보문로 167, (삼선동5가)",한식,추어탕,106.47,삼선동,02 9536688
원조마포소금구이,"서울특별시 성북구 화랑로40길 55, (석관동)",한식,삼겹살,92.4,석관동,02   9698292
거산프라자다원,"서울특별시 성북구 종암로 18, (종암동)",일식,회정식,255.66,종암동,02 9110346
반월,"서울특별시 성북구 월곡로 29, (종암동)",한식,한정식,145.9,종암동,02 9410308
메밀촌,"서울특별시 성북구 화랑로25길 17, (상월곡동)",한식,만두국,97.15,월곡제2동,02  916 2141
전통설렁탕,"서울특별시 성북구 성북로 105, (성북동,107-2,103)",한식,설렁탕,228.98,성북동,02 7472753
꿈꾸는이상(주) 갈비명가이상돈암본관,"서울특별시 성북구 정릉로 364, (돈암동)",한식,돼지갈비,551.98,돈암제1동,02  925 8700
금왕돈까스,"서울특별시 성북구 성북로 138, (성북동)",경양식,돈까스,132.24,성북동,207642691
