업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
그린푸드,"서울특별시 성동구 성수일로8길 5, 서울숲 SK V1 TOWER A동 1층 101호 (성수동2가)",한식,한식뷔페,90.72,성수2가제1동,
앙심품은도야지,"서울특별시 성동구 성덕정길 91, 1층 (성수동2가)",한식,,115,성수2가제1동,02  4668486
응봉참숯생소금구이,"서울특별시 성동구 독서당로62길 4, (응봉동,(지상2층))",한식,소금구이,85,응봉동,222823952
우리바다 생태찌개,"서울특별시 성동구 왕십리로22길 22, 지하1층 B101,B102호 (도선동)",한식,동태탕,113,왕십리도선동,222810331
37.5 시그니처 성수점,"서울특별시 성동구 연무장길 41-19, 1층, 2층, 3층 (성수동2가)",기타,파스타,131.08,성수2가제1동,
칠성식당,"서울특별시 성동구 뚝섬로 401-2, 1층 (성수동2가, 331-2)",한식,,71.99,성수2가제1동,02 4670785
동신식당,"서울특별시 성동구 성덕정17길 11, (성수동2가, 성수2가 565 지상1층)",한식,"돼지갈비, 삼겹살",20.48,성수2가제1동,02 4679108
원조 용문집,"서울특별시 성동구 마장로39가길 32, 1층 (마장동)",식육(숯불구이),"소고기, 삼겹살",107.11,마장동,
특우정,"서울특별시 성동구 무학로12길 13, (홍익동)",한식,생등심,94.66,왕십리도선동,222937575
구미호(口味好),"서울특별시 성동구 고산자로26길 5, 지상2층 (마장동)",식육(숯불구이),"꽃갈비살, 삼겹살",188,마장동,222997398
계화통(한양대점),"서울특별시 성동구 마조로 21, 1층 (행당동)",한식,닭볶음탕,49.5,사근동,222813803
장미식당,"서울특별시 성동구 금호로 84, 지하1층 (금호동1가, 1763)",한식,제육짜글이,27,금호1가동,
손건호의 한우일번지,"서울특별시 성동구 고산자로 354, (마장동)",한식,한우,64.65,마장동,222955893
콩물에빠진두부,"서울특별시 성동구 한림말1길 8, (옥수동,지상1층)",한식,콩비지찌개,115.2,옥수동,
임가네숯불구이식당,"서울특별시 성동구 마장로37길 35-1, 지상2층 (마장동)",한식,소고기,91.8,마장동,
신신원,"서울특별시 성동구 광나루로 290, (성수동2가)",중국식,굴짬뽕,89.95,성수2가제1동,02 4998940
래빗홀 버거,"서울특별시 성동구 상원1길 35-23, 1층 (성수동1가)",경양식,햄버거,57.9,성수1가제1동,
끄트머리집,"서울특별시 성동구 마조로3길 8, 1층 (행당동)",한식,돼지김치구이,87.57,행당제1동,222928574
브이엔디 성수본점,"서울특별시 성동구 서울숲6길 22, 지1층 (성수동1가)",기타,베트남음식,103.43,성수1가제1동,02  499 8424
남문한우숯불곱창,"서울특별시 성동구 마장로35나길 9, 광장축산 2층 (마장동)",식육(숯불구이),소고기,298.5,마장동,
해담,"서울특별시 성동구 동일로 143, 1층 121호, 123호, 124호 (성수동2가, 성수1차 대우아파트)",한식,제육볶음,102,성수2가제1동,
수향,"서울특별시 성동구 성수이로10길 14, 1층 105호 (성수동2가, 에이스하이엔드 성수타워)",중국식,중국요리,95.25,성수2가제3동,264663888
또치(참숯생고기),"서울특별시 성동구 성덕정길 99, (성수동2가,(지상2층))",경양식,참숯생고기,96.05,성수2가제1동,02 4654800
하남돼지집 성수역점,"서울특별시 성동구 아차산로 85, 1층 (성수동2가)",한식,삼겹살,81.66,성수2가제3동,02467 3690
맛나곱창,"서울특별시 성동구 고산자로 281-1, 1층 (홍익동)",한식,"소곱창,야채곱창",148,왕십리도선동,222823349
우돈만족,"서울특별시 성동구 성덕정17길 4-1, 지상1층 (성수동2가)",한식,숯불구이,56.53,성수2가제1동,204615578
박여사네 짱뚱어랑 보리굴비,"서울특별시 성동구 금호산길 49, 1층 (금호동2가)",한식,짱뚱어탕,60,금호2.3가동,
일품생고기,"서울특별시 성동구 독서당로40길 29, (옥수동)",한식,삼겹살,29.64,옥수동,222956566
마장골한우숯불구이,"서울특별시 성동구 마장로31길 40, 2층 (마장동)",한식,소고기,180,마장동,02  22920092
마장동한우촌,"서울특별시 성동구 마장로35길 68, 1층 105,106,109,110,111,112호 (마장동)",한식,등심,155.4,마장동,222819292
마포갈비생등심,"서울특별시 성동구 행당로8길 9, (행당동)",한식,생갈비,175.02,행당제1동,222816663
만두전빵,"서울특별시 성동구 행당로15길 2-1, (행당동)",한식,"만두전골, 냉면",141.04,행당제2동,222926882
메밀촌 봉평막국수,"서울특별시 성동구 독서당로48길 8-1, (금호동4가)",분식,막국수,33.2,금호4가동,222827270
몽실이네토종한우,"서울특별시 성동구 마장로35길 70, 1층, 2층 (마장동)",한식,한우,178,마장동,222993365
민정식당 서울숲직영점,"서울특별시 성동구 상원길 51, 1,2층 (성수동1가)",한식,설렁탕,141.95,성수1가제2동,206443838
본가큰댁설렁탕.생고기,"서울특별시 성동구 동일로 143, 113,114,115,116호 (성수동2가, 성수1차아파트상가 )",한식,설렁탕,145.2,성수2가제3동,204611666
천미향,"서울특별시 성동구 성수일로10길 26, 2층 216,217,218,219호 (성수동2가)",중국식,차돌짬뽕,225.7,성수2가제1동,234994488
유래회관,"서울특별시 성동구 마장로 196, (홍익동,지상2,3층)",한식,등심,1063.55,왕십리도선동,
신금호숯불갈비 본점,"서울특별시 성동구 무수막길 89, (금호동2가)",한식,돼지갈비,77.49,금호2.3가동,222343043
정 참치,"서울특별시 성동구 성수일로8길 39, 2층 202호 (성수동2가)",호프/통닭,초밥,89.39,성수2가제1동,02 4671071
