업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
선수산 임진강 장어나라,"서울특별시 송파구 정의로7길 13, 힐스테이트에코송파 1층 116호,117호 (문정동)",한식,장어,120.4,문정1동,
샘삼겹,"서울특별시 송파구 양산로 38, 1층 102호 (거여동)",한식,삼겹살,67,거여2동,
해논미역,"서울특별시 송파구 동남로 460, 1층 (방이동)",한식,미역,360.36,오륜동,
콩두주백 거마직영점,"서울특별시 송파구 거마로 49, 1층 (거여동)",한식,콩두정식,208.77,거여1동,
야래향,"서울특별시 송파구 신천로 25, 지하1층 (신천동, 장미 A상가 1,2-2,2-3,15-2,16호)",한식,짜장면,169,잠실4동,02 4202041
장옥정,"서울특별시 송파구 석촌호수로 174, 1,2,3층 (삼전동)",한식,함흥냉면,556.15,삼전동,
잠실황소곱창,"서울특별시 송파구 삼학사로19길 5, 지상1층 (삼전동)",한식,황소곱창,58.69,삼전동,02 4238817
하얼빈 양꼬치,"서울특별시 송파구 백제고분로7길 32-4, 1층 (잠실동)[*미고시]",한식,"양꼬치, 꿔바로우",108.96,잠실본동,
문정능이오리백숙,"서울특별시 송파구 새말로 152, 초이스 타워 1층 101호 (문정동)",한식,오리백숙,82.5,장지동,
방이샤브칼국수,"서울특별시 송파구 양재대로71길 2-27, 1층 101호 (방이동, 인택 파크랜드)",한식,샤브샤브,143.91,방이1동,02 4233450
완도산회 삼전점,"서울특별시 송파구 삼전로10길 58, (삼전동)",한식,모듬회,115,삼전동,02  424 5989
장지골 양.곱창(산농채),"서울특별시 송파구 송파대로 106-16, 1,2층 (문정동)",기타,곱창,324.5,문정1동,02  403 8884
송돝 방이본점,"서울특별시 송파구 오금로13길 7, 지상1층 (방이동)",한식,곱창,201.4,방이2동,02  22028832
반포식스 가락점,"서울특별시 송파구 송파대로28길 27, 101동 101,102호 (가락동, 성원상떼빌)",일식,베트남쌀국수,85.32,가락본동,02 4493737
농부,"서울특별시 송파구 양재대로71길 4-12, (방이동,지상1층)",한식,"삼겹살구이, 부대찌개",145,방이1동,02 4161233
백제 추어탕,"서울특별시 송파구 동남로 143, 지상1층 (가락동)",한식,추어탕,189.94,가락2동,02 4066788
메종성수돈(송파점),"서울특별시 송파구 백제고분로41길 41, (송파동)",한식,삼겹살,93.64,송파1동,02 2028305
옥된장 잠실새내점,"서울특별시 송파구 백제고분로7길 15, (잠실동)",한식,수육,79.65,잠실본동,02 4023676
떡파디,"서울특별시 송파구 동남로18길 14-1, 1층 (가락동)",분식,떡볶이,83.68,가락2동,
