업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
사매생태찌개전문점,"서울특별시 양천구 중앙로 251, 2층 201호 (신정동)",한식,생대구탕,131.17,신정3동,226436888
우리토종삼계탕,"서울특별시 양천구 월정로 60, 1층 (신월동)",한식,삼계탕,105.64,신월2동,226913367
본말감자탕 신정네거리역점,"서울특별시 양천구 중앙로 259, 1층 (신정동)",한식,감자탕,233.49,신정3동,226018002
동해해물탕,"서울특별시 양천구 목동로21길 1, 1층 (신정동)",한식,해물탕,98.45,신정4동,226041999
남원골,"서울특별시 양천구 화곡로 95, 초원빌딩 1층 (신월동)",한식,추어탕,124.03,신월5동,226084655
등촌칼국수,"서울특별시 양천구 화곡로 100, 1층 (신월동)",한식,칼국수,295.7,신월5동,226025515
섬어부밥상,"서울특별시 양천구 신정중앙로 85, 로데오프라자 2층 204~205호 (신정동)",한식,낙지볶음,167.64,신정4동,226941100
오복순대국,"서울특별시 양천구 신정중앙로 63, 1층 (신정동)",한식,순대국,118.37,신정4동,226992655
저푸른초원위,"서울특별시 양천구 신월로 120, 1층 101호 (신월동, 레미앙아파트)",한식,소고기구이,188.37,신월6동,226989294
킹콩부대찌개양천구청점,"서울특별시 양천구 목동동로 73, 양지빌딩 ll 2층 202호 (신정동)",한식,부대찌개,104.52,신정7동,226551233
서울소머리국밥,"서울특별시 양천구 오목로 32, 1층 (신월동)",한식,소머리국밥,167.44,신월4동,226908777
산골막국수,"서울특별시 양천구 월정로 8, 101동 지하 1층 101호 (신월동, 목동M타운)",한식,막국수,153.59,신월2동,226047006
명태어장,"서울특별시 양천구 중앙로 311, 지하 1층 101호 (신월동, 리슈리안)",한식,명태조림,138.91,신월2동,220658835
낙지와볼테기,"서울특별시 양천구 목동동로 73, 양지빌딩 ll 2층 201호 (신정동)",한식,볼테기해장국,95.5,신정7동,226536677
