업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
돈떼목장,"서울특별시 영등포구 영등포로 384-1, 1층 (신길동)",한식,돼지갈비,92,신길제1동,
여의정 여의도 본점,"서울특별시 영등포구 여의대방로 379, 제일빌딩 지하1층 11,12호 (여의도동)",한식,어복쟁반,401.95,여의동,
뉴타운갈비탕,"서울특별시 영등포구 도림로 282, 1층 (신길동)",한식,삼계탕,66.15,신길제5동,02 8314111
미나리 우리삼겹(영등포역점),"서울특별시 영등포구 영중로4길 6-1, (영등포동3가,1층)",한식,차돌박이,164.3,영등포동,226766070
(유)아웃백스테이크하우스코리아 여의도점,"서울특별시 영등포구 국제금융로8길 6, (여의도동,신영증권 빌딩 지하1층)",경양식,스테이크,561.15,여의동,02  20548365
값진식육,"서울특별시 영등포구 선유로 58-4, 1층 (문래동3가)",한식,식육,160.9,문래동,226349288
팔팔아구 여의도점,"서울특별시 영등포구 국제금융로6길 30, 백상빌딩 1층 117, 118, 119, 120호 (여의도동)",일식,생선회,104.79,여의동,207848877
선유한정식,"서울특별시 영등포구 영신로17길 3, (영등포동,외1필지 지하1층(전체))",한식,한정식,322.75,영등포제2동,02  847 5888
이태원천상여의도점,"서울특별시 영등포구 국회대로68길 17, (여의도동)",일식,"회,스시",163,여의동,02 7853171
나주곰탕,"서울특별시 영등포구 영등포로 216-1, 1층 (영등포동3가)",한식,곰탕,231,영등포동,226787898
원양참치,"서울특별시 영등포구 당산로32길 5, (당산동3가)",일식,참치회,91.83,당산제1동,226710033
나주곰탕,"서울특별시 영등포구 여의나루로 113, (여의도동)",한식,곰탕,106.34,여의동,02 7843177
그랜드컨벤션센터,"서울특별시 영등포구 양평로 58, (당산동6가, 지상2층(일부))",뷔페식,부페,1840.8,당산제2동,236677103
올라6,"서울특별시 영등포구 여의대로 8, 여의도파크센터 지하층 107~110호 (여의도동)",경양식,"파스타,스테이크",330.2,여의동,220707220
하이서울유스호스텔지점,,한식,백반,304.01,영등포동,7077324600
창고43본점,"서울특별시 영등포구 국제금융로6길 33, 중2층 (여의도동)",한식,"안심,등심",546.78,여의동,02 7869912
원당감자탕 당산점,"서울특별시 영등포구 선유로 248-15, (양평동4가)",한식,특양구이,95.78,양평제2동,226359292
맛점시대,"서울특별시 영등포구 양평로 149, (양평동5가,우림라이온스밸리1차 A동 지하 101호)",한식,한식부페,333.7,양평제2동,226387100
또순이집,"서울특별시 영등포구 선유로47길 16, (양평동4가,지상1층)",한식,"토시살,안등심",450,양평제2동,226722770
민소한우(중앙여의도지점),"서울특별시 영등포구 국제금융로2길 37, (여의도동,에스트레뉴 지하1층 105호,106호)",한식,"등심,안심",370.01,여의동,02 7803365
흑돈가,"서울특별시 영등포구 여의대방로69길 23, (여의도동,지하1층,지상1층,지상2층)",한식,흑돼지 생구이,1461,여의동,02 7838800
