업소명,소재지도로명,업태명,주된음식,영업장면적(㎡),행정동명,소재지전화번호
공릉닭한마리,"서울특별시 용산구 새창로 213-12, (한강로2가,한강현대하이엘 107호)",정종/대포집/소주방,닭한마리,67.13,한강로동,02 7947015
부엉이돈가스,"서울특별시 용산구 남산공원길 105, YTN서울타워 2층 202B호 (용산동2가)",경양식,돈가스,234.36,용산2가동,02  318 0518
돌삼,"서울특별시 용산구 한강대로62길 26, 1층 (한강로1가)",패밀리레스트랑,"갈비탕,솥밥",554.2,한강로동,
창익집,"서울특별시 용산구 후암로23길 6, (후암동,(지상1층))",한식,한우꽃등심,86.04,후암동,02 7540442
선명구이가,"서울특별시 용산구 두텁바위로 81-2, 1층 (후암동)",한식,흑돼지구이,97.15,후암동,
부산복국고래고기,"서울특별시 용산구 한강대로 272-1, (남영동,(지상1층))",한식,복국,89.73,남영동,
방태막국수 남산서울타워점,"서울특별시 용산구 남산공원길 105, 서울타워플라자 지상2층 201호 (용산동2가)",한식,막국수,107.95,용산2가동,02 4067757
부자반점,"서울특별시 용산구 한강대로 275-1, (갈월동, 89-14 지상1층)",중국식,간짜장,86.93,남영동,02  718 7889
만족돈까스,"서울특별시 용산구 청파로 255, 1층 (청파동3가)",경양식,돈까스,73.91,청파동,
솔직한우 용산점,"서울특별시 용산구 한강대로17길 15, 1,2,3층 (한강로3가)",한식,한우구이,223.6,한강로동,
돌판장 주식회사,"서울특별시 용산구 한강대로53길 24, 1-2층 (한강로2가)",한식,장어구이,122.31,한강로동,
주식회사 물고기주택,"서울특별시 용산구 한강대로48길 19, 지상1,2층 (한강로2가)",기타,모듬회,79.44,한강로동,
한남 뜰(HAN NAM 뜰),"서울특별시 용산구 독서당로20길 7, 1층 (한남동)",한식,한우구이,73.22,한남동,
이여곰탕용산점,"서울특별시 용산구 한강대로 136, 1층 (한강로2가)",한식,곰탕,54.58,한강로동,
진미식당,"서울특별시 용산구 백범로90길 46, (문배동,(지상1층))",한식,"문경콩청국장, 냉콩국수",26.4,원효로제1동,02 7036842
큰집닭한마리,"서울특별시 용산구 원효로 259-1, 1층 (원효로1가)",기타,닭한마리,142.51,원효로제1동,02 7115556
이춘복참치,"서울특별시 용산구 한강대로 266-2, (남영동)",일식,참치,126,남영동,02  794 4558
풍성집,"서울특별시 용산구 한강대로62길 38, (한강로1가,(지상1층))",한식,차돌박이,33.1,한강로동,02 7952654
금천문,"서울특별시 용산구 한강대로 268, (남영동,(지상1층))",한식,오향족발,73.03,남영동,
섬집,"서울특별시 용산구 한강대로14길 18, (한강로3가,(지상1층))",한식,"간장게장, 참게꽃게매운탕",65.52,한강로동,
남도미항 용산아이파크몰점,"서울특별시 용산구 한강대로23길 55, 용산역 4층 900-6호 (한강로3가)",한식,"비빔밥, 찌게",180.53,한강로동,
산마루돌구이,"서울특별시 용산구 녹사평대로54길 12, 1층 (이태원동)",,산낙지돌구이,251.05,이태원제2동,02  26358393
피기 남영본점,"서울특별시 용산구 한강대로84길 12, 미성회관 1,2층 (남영동)",한식,"소,돼지구이",350.39,남영동,02 7937766
치히로 서울용산점,"서울특별시 용산구 한강대로62길 42-1, (한강로1가)",복어취급,일식덮밥,49.59,한강로동,269561953
마구로참치1980,"서울특별시 용산구 한강대로 259, 고려에이트리움 1층 110호~113호 (갈월동)",일식,참치,197.13,남영동,02 7901161
新(신)청파찹쌀순대,"서울특별시 용산구 청파로 299-1, (청파동2가,(지상1층))",한식,순대국,76.48,청파동,02 7018883
신용산 닭돌이,"서울특별시 용산구 한강대로 126-3, 1층 (한강로2가)",한식,페퍼로니피자,66.64,한강로동,50714590534
장위동유성집,"서울특별시 용산구 한강대로 385, 지상1층 (동자동)",한식,등심(소고기),132,남영동,02 7969292
서울추어탕,"서울특별시 용산구 한강대로104가길 11-2, 1층 (동자동)",한식,추어탕,69.72,남영동,02 7777772
