식당명,지역명,주차가능,와이파이제공,놀이방,다국어메뉴판,화장실,해시태그,소재지도로명,업태명,주된음식,영업장면적(평),행정동명,소재지전화번호,제로식당
명동정,중구,Y,Y,N,N,Y,"룸,모범음식점,트립어드바이저","서울특별시 중구 삼일대로 299, 1층 (충무로2가)",한식,한정식,88.0,명동,237895130, 
봉추찜닭,중구,N,N,N,Y,N,"모범음식점,씨트립,포장가능","서울특별시 중구 명동8나길 47, (충무로1가, 2층)",기타,기타,56.6,명동,0237899381, 
삼호복집,서대문구,Y,N,N,Y,Y,"룸,모범음식점,포장가능","서울특별시 서대문구 연세로5다길 10, (창천동,(지상2,3층))",한식,일식,108.0,신촌동,-, 
곰국시집,중구,N,Y,N,Y,Y,"모범음식점,트립어드바이저,포장가능","서울특별시 중구 무교로 24, (무교동,(지상2,3층))",한식,칼국수,107.3,명동,027563250, 
연타발,강남구,Y,Y,N,Y,Y,"모범음식점,트립어드바이저,포장가능","서울특별시 강남구 도산대로 231, (신사동,지상2,3층)",양식,곱창,214.8,압구정동,025454248, 
부엉이돈가스,용산구,N,Y,N,N,Y,포장가능,"서울특별시 용산구 남산공원길 105, YTN서울타워 2층 202B호 (용산동2가)",양식,돈가스,70.9,용산2가동,023180518, 
옛날집,마포구,N,Y,N,N,N,-,"서울특별시 마포구 양화로18안길 26, (동교동)",한식,"갈비구이, 삼겹살",14.6,서교동,231419608, 
너비집,중구,N,N,N,Y,N,"룸,모범음식점,씨트립,포장가능","서울특별시 중구 명동9길 37-8, (을지로2가)",한식,고기구이,25.1,명동,027564084, 
라온,중구,N,Y,N,N,N,포장가능,"서울특별시 중구 명동8가길 36, 1,2,3층 (충무로2가)",한식,한식,50.1,명동,027579292, 
뉘조,종로구,N,Y,N,N,Y,"모범음식점,블루리본,씨트립,안심식당,트립어드바이저","서울특별시 종로구 인사동14길 27, 1층 (관훈동)",한식,한정식,28.7,종로1.2.3.4가동,027309311, 
양반댁,종로구,N,N,N,N,Y,"모범음식점,씨트립,안심식당,트립어드바이저","서울특별시 종로구 인사동길 19-18, 1층 (인사동)",한식,한정식,21.9,종로1.2.3.4가동,027301112, 
하누소,종로구,N,N,N,N,N,안심식당,"서울특별시 종로구 삼일대로 428, (낙원동)",한식,갈비탕,167.2,종로1.2.3.4가동,027399990, 
대박감자탕,강서구,Y,N,N,Y,N,"모범음식점,안심식당","서울특별시 강서구 곰달래로 255, 1층 (화곡동)",한식,감자탕,46.6,화곡제4동,226420555, 
경회루,노원구,Y,Y,N,N,Y,모범음식점,"서울특별시 노원구 동일로 1005, 지하1층 (공릉동)",한식,정식,147.1,공릉1동,9722774, 
오발탄,서초구,N,N,N,N,N,모범음식점,"서울특별시 서초구 반포대로 154, 1,2,3층 (서초동)",한식,양대창구이,206.8,서초제3동,025916657, 
마장동한우촌,성동구,Y,Y,Y,Y,Y,모범음식점,"서울특별시 성동구 마장로35길 68, 1층 105,106,109,110,111,112호 (마장동)",한식,등심,47.0,마장동,222819292, 
기와집,노원구,N,N,N,Y,N,모범음식점,"서울특별시 노원구 석계로 35, 석산빌딩 1층 (월계동)",한식,갈비구이,58.6,월계1동,029172111, 
충무로 부산복집,송파구,N,Y,N,N,Y,"모범음식점,씨트립","서울특별시 송파구 중대로27길 9-1, (오금동)",한식,"복,탕",99.8,오금동,024043227, 
황토추어탕,강동구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 강동구 성안로 7-12, (성내동)",한식,추어탕,49.9,성내제1동,024736673, 
타오,구로구,Y,Y,N,N,Y,"모범음식점,안심식당","서울특별시 구로구 디지털로 288, 대륭포스트타워1차 지하125,126호 (구로동)",중식,청요리,67.2,구로제3동,220822888, 
가마솥손두부,동작구,N,N,N,N,Y,모범음식점,"서울특별시 동작구 남부순환로271길 20, (사당동)",한식,순두부,71.3,사당제1동,234722202, 
굴다리전주콩나물국밥,광진구,N,Y,N,Y,N,모범음식점,"서울특별시 광진구 자양로 160, (구의동)",한식,콩나물국밥,49.1,구의제1동,024588118, 
오복순대국,양천구,Y,Y,N,N,Y,모범음식점,"서울특별시 양천구 신정중앙로 63, 1층 (신정동)",한식,순대국,35.8,신정4동,226992655, 
콩두,양천구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 양천구 신정이펜2로 22, 2층 201호 (신정동, 신정프라자)",한식,순두부,21.7,신정3동,267348080, 
영산홍가,구로구,N,N,N,N,N,모범음식점,"서울특별시 구로구 경인로25길 25, 1층 (오류동)",한식,홍어삼합,10.0,오류제1동,0226860755, 
낙지와볼테기,양천구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 양천구 목동동로 73, 양지빌딩 ll 2층 201호 (신정동)",한식,볼테기해장국,28.9,신정7동,226536677, 
디코레 북창동 순두부,중구,N,N,N,N,Y,"모범음식점,포장가능","서울특별시 중구 세종대로 78, (태평로2가, 2층)",한식,한식,68.1,소공동,023184350, 
칭닌,마포구,N,N,N,N,N,-,"서울특별시 마포구 마포대로24길 4, 2층 203,204호 (아현동, 공덕자이아파트)",중식,-,21.3,아현동,-, 
짚불구이 본가,송파구,N,N,N,N,N,-,"서울특별시 송파구 올림픽로32길 22-20, 지상1층 (방이동)",한식,갈매기살,58.4,방이2동,024223393, 
상하이몽,영등포구,N,N,N,N,N,모범음식점,"서울특별시 영등포구 당산로41길 11, 당산 SK V1 center 1층 112호 (당산동4가)",중식,자장면,31.5,당산제2동,226330096, 
예소반,관악구,Y,N,N,Y,Y,"모범음식점,안심식당","서울특별시 관악구 문성로 225, 1층 (신림동)",한식,명태조림김치찜,20.5,신원동,028655245, 
눈꽃초밥,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 법원단지길 38, 1층 (신림동)",일식,초밥,13.0,난곡동,-, 
풍년오리,관악구,N,N,N,N,N,"모범음식점,안심식당,트립어드바이저","서울특별시 관악구 관악로15길 9, 2층 (봉천동)",한식,-,27.5,청룡동,028759999, 
퍼틴,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 올림픽로 240, 지하1층 (잠실동, 롯데월드 어드벤처 F&B거리)",기타,쌀국수,37.1,잠실3동,221431260, 
힘찬장어,도봉구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 도봉구 노해로69길 15-9, (창동,(지상1층))",한식,민물장어,30.9,창제4동,029999975, 
단아한정식,동작구,Y,Y,N,N,Y,"안심식당,트립어드바이저","서울특별시 동작구 동작대로27가길 44, (사당동,영지빌딩 2층)",한식,한정식,113.4,사당제2동,025323946, 
옥정,종로구,N,Y,N,Y,Y,"모범음식점,안심식당","서울특별시 종로구 인사동12길 18, 1층 (관훈동)",한식,한정식,16.0,종로1.2.3.4가동,027335412, 
장수갈매기,마포구,N,N,N,Y,Y,"모범음식점,안심식당,트립어드바이저","서울특별시 마포구 도화길 46, (도화동)",한식,갈매기살,44.8,도화동,027167766, 
고바우소곱창,노원구,Y,N,N,N,Y,"모범음식점,포장가능","서울특별시 노원구 동일로217가길 39, (상계동)",한식,소곱창,19.7,상계6.7동,029385142, 
들풀식당,종로구,N,N,N,N,N,"모범음식점,씨트립,안심식당","서울특별시 종로구 자하문로 118, (청운동)",한식,한정식,29.6,청운효자동,027204323, 
돈족골,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 삼학사로 66, (석촌동)",한식,-,49.5,석촌동,024165252, 
광양불고기,송파구,Y,N,N,Y,Y,모범음식점,"서울특별시 송파구 백제고분로39길 6, (석촌동)",한식,불고기,168.4,석촌동,024200211, 
함흥냉면,영등포구,Y,N,N,Y,Y,"모범음식점,안심식당,위생등급제 지정업소,트립어드바이저","서울특별시 영등포구 영등포로42길 6, (영등포동3가,1층)",한식,냉면,30.2,영등포동,226782722, 
삼족오,강북구,N,N,N,N,N,모범음식점,"서울특별시 강북구 한천로 1067-1, (수유동)",한식,치킨,18.9,수유제3동,029058411, 
면천추어탕,동대문구,Y,N,N,Y,N,모범음식점,"서울특별시 동대문구 천호대로83길 19, 1층 (장안동)",한식,추어탕,20.0,장안제1동,-, 
부일관,노원구,Y,Y,Y,N,Y,모범음식점,"서울특별시 노원구 노원로26길 119, 부일관 1층 (상계동)",한식,돼지갈비,99.3,상계2동,029526634, 
아오끼,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 선릉로100길 30, (삼성동,지상1층)",일식,회정식,95.0,삼성2동,025691586, 
지호한방삼계탕,강남구,Y,N,N,Y,N,"모범음식점,트립어드바이저","서울특별시 강남구 영동대로115길 16, 지상1층 (삼성동)",한식,삼계탕,47.3,삼성1동,025127283, 
봉피양,송파구,N,N,N,N,N,"모범음식점,미쉐린 가이드","서울특별시 송파구 양재대로71길 5, 지상1층 (방이동)",한식,"돼지갈비, 설렁탕",72.8,방이1동,024155527, 
호보식당,강남구,Y,Y,N,N,Y,모범음식점,"서울특별시 강남구 논현로85길 43, (역삼동,지하1층)",한식,삼겹살,82.0,역삼1동,025655505, 
궁중한우,성동구,Y,N,N,N,N,모범음식점,"서울특별시 성동구 마장로29길 40, 1층 (마장동)",한식,"백반, 한우",10.0,마장동,222995453, 
김명자굴국밥전문점,용산구,N,N,N,N,N,모범음식점,"서울특별시 용산구 후암로 107, (동자동,케이트웨이타워 1층 104(B))",한식,굴국밥,26.0,남영동,027274300, 
하늘찬,강서구,N,N,N,N,N,모범음식점,"서울특별시 강서구 하늘길 38, 3층 (방화동, 2동 김포공항 국제선청사 동관)",한식,갈비찜,87.1,방화제2동,7049479855, 
가빈,구로구,N,N,N,N,N,모범음식점,"서울특별시 구로구 구로동로 174-9, (구로동)",한식,오리고기구이,25.1,구로제2동,-, 
청송면옥,서대문구,N,N,N,N,N,-,"서울특별시 서대문구 연희맛로 6, (연희동)",분식,냉면,25.3,연희동,-, 
대청마루,강서구,N,N,N,N,N,모범음식점,"서울특별시 강서구 하늘길 38, 김포공항 국제선 3층 (방화동)",기타,김치찌개,172.4,공항동,7049479859, 
태평양수산,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 마장로 185, (홍익동)",일식,생선회,28.7,왕십리도선동,222964988, 
속초집,중구,N,N,N,N,N,모범음식점,"서울특별시 중구 퇴계로6길 3-6, 지하1층 (회현동1가)",한식,회,41.9,회현동,027752226, 
초원,용산구,N,Y,N,N,Y,모범음식점,"서울특별시 용산구 한강대로80길 7, (남영동)",한식,한우특수부위,53.5,남영동,027954175, 
정릉곤드레밥,성북구,Y,Y,N,N,Y,모범음식점,"서울특별시 성북구 보국문로18가길 5-13, (정릉동)",한식,곤드레밥,33.3,정릉제4동,-, 
이가네낙지마당,구로구,N,N,N,N,N,모범음식점,"서울특별시 구로구 경서로 12, 대상빌딩 1층 5~8호 (고척동)",한식,생등심,36.9,고척제1동,-, 
팔미낙지한마리수제비,노원구,N,N,N,N,N,모범음식점,"서울특별시 노원구 한글비석로47길 34, 혜미빌딩 1층 (상계동)",한식,수제비,39.8,상계5동,029525123, 
신선설농탕,서초구,Y,N,N,N,Y,"모범음식점,포장가능","서울특별시 서초구 효령로 322, (서초동,1층)",한식,설렁탕,57.4,서초제1동,234731155, 
대복,양천구,N,N,N,N,N,"모범음식점,씨트립,안심식당,트립어드바이저","서울특별시 양천구 오목로 276, 2층 (목동)",일식,복어회,49.7,목1동,226439588, 
가족천하,영등포구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 영등포구 가마산로 330, (대림동, 지상2층,3층 )",한식,"갈비탕,돼지갈비",213.0,대림제3동,028474500, 
불이아,강남구,N,N,N,Y,N,모범음식점,"서울특별시 강남구 언주로 711, (논현동,건설회관지하1층)",중식,훠궈,119.0,논현2동,025176689, 
진동둔횟집,서초구,N,N,N,N,N,"블루리본,트립어드바이저","서울특별시 서초구 강남대로91길 18, 지하1층,1층,2층 (잠원동)",일식,대구탕,287.0,잠원동,025433849, 
인사동두부마을,종로구,N,N,N,N,N,"모범음식점,씨트립,안심식당","서울특별시 종로구 인사동길 30-12, (관훈동)",한식,콩요리,26.6,종로1.2.3.4가동,027359996, 
남원추어탕,양천구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 양천구 목동동로10길 17, 1~2층 (신정동)",한식,추어탕,62.9,신정2동,226433254, 
대경미담,송파구,N,N,N,N,N,모범음식점,"서울특별시 송파구 중대로 56, (문정동,지상1층)",한식,돼지갈비,39.6,문정1동,024075989, 
가나다라생고기,성북구,N,N,N,N,N,모범음식점,"서울특별시 성북구 성북로4길 52, 스포츠센타동 5103호 (돈암동, 한신한진아파트)",한식,고기,20.2,돈암제2동,-, 
삼풍숯불갈비,영등포구,Y,N,N,Y,Y,모범음식점,"서울특별시 영등포구 국회대로38길 8, (당산동3가,지상1층)",한식,갈비,75.0,당산제1동,226343035, 
능이버섯백숙,영등포구,N,N,N,Y,N,모범음식점,"서울특별시 영등포구 선유로 32, (문래동4가,(1층))",한식,백숙,72.3,문래동,226777373, 
동해,중구,N,N,N,N,N,"모범음식점,씨트립","서울특별시 중구 칠패로 36, (봉래동1가, 지하1층)",일식,농어회,63.7,회현동,027563321, 
보스라멘,용산구,Y,Y,N,N,Y,모범음식점,"서울특별시 용산구 청파로 74, (한강로3가, 16-9외6필지 용산전자랜드 지상6층)",일식,탄탄멘돈가스정식,28.0,한강로동,50713722090, 
궁원복집,구로구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 구로구 가마산로19길 6-3, 지하1층,지상1층 (구로동)",일식,복지리,37.4,구로제2동,028670537, 
농부보쌈,중랑구,Y,Y,N,N,N,모범음식점,"서울특별시 중랑구 용마산로 389, (면목동)",한식,보쌈정식,64.9,면목제3.8동,024968860, 
양촌리,도봉구,N,N,N,Y,N,"모범음식점,안심식당","서울특별시 도봉구 방학로 102, (방학동)",한식,소갈비,114.3,방학제1동,029547852, 
또와,성동구,N,N,N,N,N,모범음식점,"서울특별시 성동구 성수일로12길 20, 성동안심상가 1층 101호 (성수동2가)",한식,삼겹살,22.1,성수2가제1동,024620580, 
해담촌,관악구,N,N,N,N,N,"모범음식점,안심식당","서울특별시 관악구 신림로 300, 1층 (신림동)",한식,-,44.9,서원동,028847977,Y
