식당명,업태명,주된음식,소재지도로명
옛날그집,기타,삼겹살,"서울특별시 동작구 장승배기로 121-2, 1층 (노량진동)"
토방마루,기타,쌀국수,"서울특별시 동작구 상도로 168, (상도동)"
장수촌,기타,장어구이,"서울특별시 동작구 사당로17가길 16, 영아탕(여관) 1층 (사당동)"
가락돈까스,기타,돈까스,"서울특별시 동작구 장승배기로 75, 지하1층 (상도동)"
명동국수,기타,국수,"서울특별시 동작구 상도로41길 12, (상도1동)"
구스토리아(Gustoria),기타,파스타,"서울특별시 동작구 상도로39길 27, 1층 (상도1동)"
부칸산837,기타,곤드레밥,"서울특별시 은평구 대서문길 45-14, 1,2층 (진관동)"
37.5 시그니처 성수점,기타,파스타,"서울특별시 성동구 연무장길 41-19, 1층, 2층, 3층 (성수동2가)"
브이엔디 성수본점,기타,베트남음식,"서울특별시 성동구 서울숲6길 22, 지1층 (성수동1가)"
고기다 성수점,기타,등심,"서울특별시 성동구 성수일로12길 20, 1층 102호 (성수동2가)"
청죽골,기타,"소,돼지갈비","서울특별시 성동구 왕십리로 134, 1층 (성수동1가)"
골목냉면,기타,"냉면, 떡만두","서울특별시 성동구 독서당로 295-7, (금호동3가)"
한국피자헛중계본점,기타,피자,"서울특별시 노원구 한글비석로15길 27, 월산빌딩 1층 (중계동)"
이장군 족발보쌈,기타,족발,"서울특별시 노원구 덕릉로83길 5, 상가동 102호 (중계동)"
포크포크,기타,"돈가스, 냉면","서울특별시 광진구 동일로22길 117-16, (화양동)"
크래버대게나라,기타,대게정식,"서울특별시 광진구 천호대로 611, 1층 (중곡동)"
장지골 양.곱창(산농채),기타,곱창,"서울특별시 송파구 송파대로 106-16, 1,2층 (문정동)"
방이굴림만두 떼굴,기타,만두,"서울특별시 송파구 양재대로71길 4-27, 지상1층 (방이동)"
하늘호수보쌈족발,기타,"보쌈,족발","서울특별시 송파구 중대로 306, 동현빌딩 1층 (오금동)"
퍼틴,기타,쌀국수,"서울특별시 송파구 올림픽로 240, 지하1층 (잠실동, 롯데월드 어드벤처 F&B거리)"
예향정 가든파이브점,기타,두루치기,"서울특별시 송파구 충민로 66, 가든파이브라이프 테크노관 5층 (문정동)"
신동보성,기타,"탕수육,짜장면","서울특별시 송파구 법원로6길 7, 2층 (문정동, 송파유탑테크밸리)"
등촌칼국수,기타,칼국수,"서울특별시 송파구 새말로8길 9, 1층 101호 (문정동)"
(주)볼드4 Bruxie(브럭시) 롯데월드몰점,기타,"와플,치킨","서울특별시 송파구 올림픽로 300, 지하1층 (신천동, 롯데월드몰 )"
란콰이펑누들 현대시티몰 가든파이브지점,기타,스테이크,"서울특별시 송파구 충민로 66, 지하1층 (문정동, 가든파이브라이프)"
제일제면소 올림픽공원점,기타,국수,"서울특별시 송파구 올림픽로 424, 지상1층 (방이동, 국민체력센터 2 )"
오뎅식당,기타,부대찌개,"서울특별시 송파구 올림픽로 300, (신천동, 캐쥬얼동 지상6층)"
골드 참치,기타,모듬참치회,"서울특별시 송파구 오금로 125, 2층 (방이동, 유미빌딩)"
제주뜰향 갈치전문점,기타,제주산갈치,"서울특별시 송파구 중대로23길 7, 1층 (가락동)"
수.보리밥,기타,"보리밥, 곤드레밥","서울특별시 송파구 백제고분로41길 43-5, (송파동,1층)"
담소 소사골 순대 육개장 방이점,기타,참치회,"서울특별시 송파구 오금로11길 8, 지상1층 (방이동)"
유모멘트(주) 아펠가모 잠실점,기타,"한식,양식","서울특별시 송파구 올림픽로35길 137, 지하1층 (신천동)"
대청마루,기타,김치찌개,"서울특별시 강서구 하늘길 38, 김포공항 국제선 3층 (방화동)"
주식회사 물고기주택,기타,모듬회,"서울특별시 용산구 한강대로48길 19, 지상1,2층 (한강로2가)"
큰집닭한마리,기타,닭한마리,"서울특별시 용산구 원효로 259-1, 1층 (원효로1가)"
담쟁이,기타,전복삼계탕,"서울특별시 용산구 한강대로76길 11-8, (남영동,(지상1층))"
까사생갈비,기타,숙성생갈비,"서울특별시 강남구 봉은사로2길 23, 2층 (역삼동)"
양문(역삼점),기타,육개장,"서울특별시 강남구 언주로93길 21, 1층 (역삼동, 남전타운)"
영이네,기타,분식 및 즉석떡볶이,"서울특별시 강남구 도곡로4길 19, 지상1층 (도곡동)"
압구정수제도시락 샐러드&샌드위치,기타,도시락,"서울특별시 강남구 논현로151길 11, 1층 (신사동)"
분짜라붐 역삼점,기타,분짜,"서울특별시 강남구 테헤란로25길 13, 1,2층 (역삼동)"
만족오향족발 역삼점,기타,김치찌개,"서울특별시 강남구 테헤란로25길 15-5, 지상1층 (역삼동)"
온기종기,기타,"파스타, 함박스테이크","서울특별시 성북구 성북로4길 52, 스포츠센타동 5105호 (돈암동, 한신한진아파트)"
성원식당,기타,백반,"서울특별시 성북구 아리랑로19길 15, (정릉동)"
매스플레이트,기타,"파스타, 스테이크","서울특별시 성북구 개운사길 18, (안암동5가, 2층)"
미각아구동태탕,기타,동태탕,"서울특별시 성북구 보국문로 54-1, (정릉동,(지상1층))"
가재야,기타,바닷가재,"서울특별시 성북구 보문로 163, (삼선동5가)"
봉추찜닭,기타,기타,"서울특별시 중구 명동8나길 47, (충무로1가, 2층)"
오두막,기타,곤드레밥,"서울특별시 종로구 새문안로9길 24-5, (도렴동)"
서촌친구네,기타,육류,"서울특별시 종로구 사직로 103-4, (내자동)"
페르시아궁전,기타,카레,"서울특별시 종로구 성균관로6길 9, 지하1,지상1층 (명륜2가)"
채선당 동묘역점,기타,샤브샤브 전골,"서울특별시 종로구 종로 347, 지하1층 113~138호 (숭인동, 롯데캐슬상가)"
스파게티가있는풍경,기타,스파게티,"서울특별시 종로구 새문안로 103-1, 2층 (신문로1가)"
스미비,기타,함박,"서울특별시 관악구 남부순환로230길 31, 1층 (봉천동)"
장수촌,기타,-,"서울특별시 관악구 남부순환로 2082-37, 2층 (남현동)"
홍주고깃간,기타,-,"서울특별시 관악구 남현1길 59, (남현동)"
주식회사 수레갈비,기타,돼지갈비,"서울특별시 마포구 매봉산로2길 19-6, 1층 (상암동)"
보리,기타,보리굴비,"서울특별시 마포구 방울내로7길 5, 102호 (망원동)"
개미집,기타,-,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 2층 204호 (상암동)"
밀밭정원,기타,한정식,"서울특별시 마포구 마포대로16길 13, 1,2층 (아현동)"
대가설렁탕,기타,설렁탕,"서울특별시 마포구 신촌로 254, 1,2층 (아현동)"
아이엠베이글 공덕점,기타,카페,"서울특별시 마포구 백범로 152, 101동 15호 (공덕동, 공덕파크자이)"
